Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,vertraag,retarded,Learning disability
Ableist,Learning disability,agterlike,mentally "behind",Learning disability
Ableist,Learning disability,dom,stupid,Learning disability
Ableist,Learning disability,idioot,idiot,Learning disability
Ableist,Learning disability,mal,psycho/nuts/crazy,Learning disability
Ableist,Learning disability,swaap,fool,Learning disability
Dogwhistle,Immigration,toevlug,asylum,Immigration
Dogwhistle,Immigration,immigrant,immigrant,Immigration
Dogwhistle,Immigration,immigrasie,immigration,Immigration
Dogwhistle,Immigration,ras-misdaad,race-crime,Immigration
Dogwhistle,Immigration,rassegeweld,race violence,Immigration
Dogwhistle,Immigration,ingevoerde,imported,Immigration
Family,Geneology,mamma/pappa,mommy/daddy,Geneology
Family,Geneology,ma/pa,mom/dad,Geneology
Family,Geneology,gene,genes,Geneology
Family,Geneology,broer/suster,brother/sister,Geneology
Family,Geneology,boetie/sussie,brother/sister (informal),Geneology
Family,Geneology,niggie/nefie,cousin,Geneology
Family,Geneology,oom/tannie,aunt/uncle,Geneology
Family,Geneology,ingeteel,inbred,Geneology
Family,Geneology,baster,mixed-race family (half-breed),Geneology
General abuse,General swearing,bliksem/donder,bastard,General swearing
General abuse,General swearing,kont,cunt,General swearing
General abuse,General swearing,fok,fuck,General swearing
General abuse,General swearing,kak,shit,General swearing
General abuse,General swearing,tosser,wanker,General swearing
General abuse,General swearing,poes,vagina,General swearing
General abuse,General swearing,jou ma se poes*,your mother's vagina,General swearing
General abuse,General swearing,piel,penis,General swearing
General abuse,General swearing,tette/tiete,boobs,General swearing
General abuse,General swearing,dom kont,stupid cunt,General swearing
General abuse,General swearing,fokker,fucker,General swearing
General abuse,General swearing,naai,knobhead,General swearing
General abuse,General swearing,drol,turd,General swearing
General abuse,General swearing,pissie,weakling,General swearing
General abuse,General swearing,doos,wanker,General swearing
General abuse,General swearing,ballas/eiers,balls,General swearing
General abuse,General swearing,tril,penis,General swearing
General abuse,General swearing,slet,slut,General swearing
General abuse,General swearing,skyt,to shit,General swearing
General abuse,General swearing,flerrie,to be a flirt,General swearing
General abuse,General swearing,hoer,whore,General swearing
Go back,Go back home,gaan terug huis toe,go back home,Go back home
Go back,Go back home,gaan terug Swaziland toe,go back to Swaziland,Go back home
Go back,Go back home,gaan terug Lesotho toe,go back to Lesotho,Go back home
Go back,Go back home,gaan terug Zimbabwe toe,go back to Zimbabwe,Go back home
Go back,Go back home,gaan terug Botswana toe ,go back to Botswana,Go back home
Go back,Go back home,go back to,gaan terug na,Go back home
Homophobia,Anti-gay,moffie,faggot,Anti-gay
Homophobia,Anti-gay,skeef,gay (literally: skew),Anti-gay
Intracommunity slurs,Racially-motivated,coconut,coconut,Racially-motivated
Intracommunity slurs,Racially-motivated,oreo,same as coconut,Racially-motivated
Intracommunity slurs,Racially-motivated,laaitie,young man (condescending),Racially-motivated
Intracommunity slurs,Racially-motivated,mlungu,(from Zulu) White man,Racially-motivated
Possible slurs,Racial,aap,ape,Racial
Possible slurs,Racial,bos,bush,Racial
Possible slurs,Racial,lokasie,informal settlement,Racial
Racial terms,Anti-aboriginal,hotnot,coloured person,Anti-aboriginal
Racist narrative,Anti-black,kafferseun,black boy,Anti-black
Racist narrative,Anti-black,kafferskelm,black thief,Anti-black
Racist narrative,Anti-black,kaffergeweld,black violence,Anti-black
Racist narrative,Anti-black,kafferkrimineel,black criminal,Anti-black
Racist narrative,Anti-black,kafferbende,black gang,Anti-black
Racist narrative,Anti-black,kaffermoorde,black murder,Anti-black
Racist narrative,Anti-black,kaffermes,black knife,Anti-black
Racist narrative,Anti-black,kafferman,black man,Anti-black
Racist narrative,Anti-black,swart man,black man,Anti-black
Racist narrative,Anti-black,swart seun,black boy,Anti-black
Racist narrative,Anti-black,swart misdaad,black crime,Anti-black
Racist narrative,Anti-black,swart krimineel,black criminal,Anti-black
Racist narrative,Anti-black,swart mes,black knife,Anti-black
Sectarianism,Protestant-Catholic(particularly Ireland),doppers,reformed church,Protestant-Catholic(particularly Ireland)
Sexist,Anti-woman,teef/tief,bitch,Anti-woman
Sexist,Anti-woman,slet,slut,Anti-woman
Sexist,Anti-woman,hoer,whore,Anti-woman
Sexist,Anti-woman,tert,tart,Anti-woman
Sexist,Anti-woman,flerrie,flirt,Anti-woman
Sexist,Anti-woman,los,loose (sleep around),Anti-woman
Sexist,Anti-woman,sensitiewe teef,sensitive bitch,Anti-woman
Sexist,Anti-woman,huismyt,house maid,Anti-woman
Sexual,Female anatomy,boude,booty,Female anatomy
Sexual,Female anatomy,gat,ass,Female anatomy
Sexual,Female anatomy,tiete/tette,tits,Female anatomy
Sexual,Female anatomy,klit,clit,Female anatomy
Sexual,Female anatomy,poes,pussy,Female anatomy
Sexual,Female anatomy,borste,breasts,Female anatomy
Violence,Violent threats,moer,to punch ,Violent threats
Violence,Violent threats,donder,to punch ,Violent threats
Violence,Violent threats,bliksem,to punch ,Violent threats
Violence,Violent threats,steek,stab,Violent threats
Violence,Violent threats,skiet,shoot,Violent threats
Violence,Violent threats,brand,burn,Violent threats
Violence,Violent threats,aanval,attack,Violent threats
