Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,Depp,douchebag,Learning disability
Ableist,Learning disability,Vollidiot,dumbass,Learning disability
Ableist,Learning disability,Behinderter,handicapped,Learning disability
Ableist,Learning disability,Trottel,jerk,Learning disability
Ableist,Learning disability,Hirni,braini,Learning disability
Ableist,Learning disability,Idiot,idiot,Learning disability
Ableist,Learning disability,Horst,horst,Learning disability
Ableist,Learning disability,Vollhorst,Vollhorst,Learning disability
Ableist,Genetic disability,Spasti,Spasti,Genetic disability
Ableist,Genetic disability,Spastiker,spastic,Genetic disability
Ableist,Genetic disability,Spastikerin,spastic,Genetic disability
Ableist,Genetic disability,Mongo,mongo,Genetic disability
Ableist,Genetic disability,Krüppel,cripple,Genetic disability
Ableist,Genetic disability,Missgeburt,miscarriage,Genetic disability
Ableist,Genetic disability,Hackfresse,Ground meat face,Genetic disability
Ableist,Genetic disability,Fettwanst,fat paunch,Genetic disability
Ableist,Genetic disability,dicke Sau,fat pig,Genetic disability
Ableist,Genetic disability,fette Sau,fat sow,Genetic disability
Dogwhistle,Immigration,Asylant,asylum seeker,Immigration
Dogwhistle,Immigration,Kanake,Kanake,Immigration
Dogwhistle,Immigration,Kartoffel,Potato,Immigration
Dogwhistle,Immigration,Alman,Alman,Immigration
Dogwhistle,Immigration,Bimbo,bimbo,Immigration
Dogwhistle,Immigration,Jude,Jew,Immigration
Dogwhistle,Immigration,Nazi,Nazi,Immigration
Dogwhistle,Immigration,Polacke,Polack,Immigration
Dogwhistle,Immigration,Schlitzauge,slit eye,Immigration
Dogwhistle,Immigration,Spaghetti,spaghetti,Immigration
Dogwhistle,Immigration,Itacker,Itacker,Immigration
Dogwhistle,Immigration,Froschfresser,frog eater,Immigration
Dogwhistle,Immigration,Schluchtenscheißer,canyon shit,Immigration
Dogwhistle,Immigration,Piefke,Piefke,Immigration
Dogwhistle,Immigration,Saupreiß,Saupreis,Immigration
Dogwhistle,Immigration,Ausländer,Foreigner,Immigration
Dogwhistle,Terrorism,Terrorist,terrorist,Terrorism
Dogwhistle,Terrorism,terrorisieren,terrorize,Terrorism
Dogwhistle,Crime,Dieb,Thief,Crime
Dogwhistle,Crime,Krimineller,Criminal,Crime
Dogwhistle,Crime,diebisch,thieving,Crime
Family,Geneology,Vater,dad,Geneology
Family,Geneology,Schwester,sister,Geneology
Family,Geneology,erholt,genes,Geneology
Family,Geneology,Inzucht,inbred,Geneology
Family,Geneology,Bruder,brother,Geneology
Family,Geneology,Mutter ,mum ,Geneology
Family,Relationships,feste Freundin,girlfriend,Relationships
Family,Relationships,Freund,boyfriend,Relationships
Family,Marriage,Ehefrau,Wife,Marriage
Family,Marriage,Ehemann,Husband,Marriage
Family,Marriage,Finanzen,finance,Marriage
Family,Marriage,Verlobte,fiancee,Marriage
General abuse,General swearing,Bastard,bastard,General swearing
General abuse,General swearing,Fotze,cunt,General swearing
General abuse,General swearing,Schlampe,slut,General swearing
General abuse,General swearing,Hure,whore,General swearing
General abuse,General swearing,Idiot,idiot,General swearing
General abuse,General swearing,Depp ,douchebag,General swearing
General abuse,General swearing,Vollidiot,dumbass,General swearing
General abuse,General swearing,Wichser,wanker,General swearing
General abuse,General offensive emoji,Mittelfinger,middle finger,General offensive emoji
General abuse,General offensive emoji,Ratte,rat,General offensive emoji
General abuse,General offensive emoji,Schlange,Line,General offensive emoji
General abuse,Paedophilia,Kinderficker,kid fuckers,Paedophilia
General abuse,Paedophilia,Pädo,paedo,Paedophilia
General abuse,Dishonesty,Ratte,rat,Dishonesty
General abuse,Dishonesty,Schlange,snake,Dishonesty
Go back,Go back home,geh zurück wo du herkommst,go back where you came from,Go back home
Go back,Go back home,Verpiss dich,fuck off,Go back home
Go back,Go back home,geh zurück nach Hause,go back home,Go back home
Homophobia,Anti-gay,Schwuchtel,fag,Anti-gay
Homophobia,Anti-gay,Homo,homo,Anti-gay
Homophobia,Anti-gay,Arschficker,ass fucker,Anti-gay
Homophobia,Anti-gay,Tunte,fag,Anti-gay
Homophobia,Anti-lesbian,Lesbe,lesbian,Anti-lesbian
Homophobia,Anti-lesbian,Kampflesbe,battle lesbian,Anti-lesbian
Homophobia,Anti-trans,Transe,trans,Anti-trans
Possible slurs,Racial,Affe,ape,Racial
Racial term,Anti-black,Schwarzer,black,Anti-black
Racial term,Anti-black,Neger,nigger,Anti-black
Racial term,Islamophobic,Ölauge,muslim,Islamophobic
Racial term,Antisemitic,Jude,jew,Antisemitic
Racial term,Antisemitic,Judenschwein,jewish,Antisemitic
Racist narrative,Rape,Vergewaltigung,rape,Rape
Racist narrative,Rape,Gruppenvergewaltigung,gang rape,Rape
Sexist,Anti-woman,Schlampe,slut,Anti-woman
Sexist,Anti-woman,Hure,whore,Anti-woman
Sexist,Female anatomy,Fotze,cunt,Female anatomy
Sexual,Female anatomy,Arsch,ass,Female anatomy
Sexual,Male anatomy,Schwanz,dick,Male anatomy
Sexual,Sex,Wichse,cum,Sex
Sexual,Sex,Ficksahne,cum,Sex
Sexual,Rape,vergewaltigt,raped,Rape
Sexual,Anti-Gypsy Roma Traveller,Zigeuner,gypsy,Anti-Gypsy Roma Traveller
Sexual,Islamophobic,Kopftuchkanake,headscarf kanake,Islamophobic
Sexual,Islamophobic,Ölauge,oil eye,Islamophobic
Violence,Violent threats,erstechen,stab,Violent threats
Violence,Violent threats,umbringen,kill,Violent threats
Violence,Violent threats,erschießen,shoot,Violent threats
Violence,Death threats,verbrennen,burn,Death threats
Violence,Death threats,aufhängen,hanging,Death threats
Violence,Death threats,töten,kill,Death threats
Violence,Rape,vergewaltigen,rape,Rape
Violence,Weaponry,Messer,knife,Weaponry
Violence,Weaponry,Pistole,pistol,Weaponry
Violence,Weaponry,Waffe,weapon,Weaponry
Violence,Weaponry,Gewehr,gun,Weaponry
