Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,enbèsil,retard,Learning disability
Ableist,Learning disability,retade,tard,Learning disability
Dogwhistle,Immigration,djèskòm,asylum,Immigration
Family,Geneology,manman / papa,mum / dad,Geneology
Family,Geneology,fré / sé,brother / sister,Geneology
Family,Geneology,ras,genes,Geneology
Go back,Go back home,al fè rout ou,fuck off back,Go back home
Go back,Go back home,tounen lakay,go back home,Go back home
Go back,Go back home,tounen kote w sòti a,go back to,Go back home
Homophobia,Anti-gay,masisi,fag,Anti-gay
Homophobia,Anti-gay,masisi kòryas,gay,Anti-gay
Homophobia,Anti-gay,lakansyèl,gayyyyyy,Anti-gay
Intracommunity slurs,Racially-motivated,ti diri san pay,coconut,Racially-motivated
Possible slurs,Racial,makak,ape,Racial
Possible slurs,Racial,chenpanze,jungle,Racial
Possible slurs,Racial,goril,chimp,Racial
Possible slurs,Racial,ti nèg nwè,monkey,Racial
Possible slurs,Racial,ti nèg,nigga,Racial
Racist narrative,Anti-black,ti nèg,black boy,Anti-black
Sectarianism,Protestant-Catholic
(particularly Ireland),ira,ira,Protestant-Catholic
(particularly Ireland)
Sectarianism,Protestant-Catholic
(particularly Ireland),uvf,uvf,Protestant-Catholic
(particularly Ireland)
Sexist,Anti-woman,bouzen,bitch,Anti-woman
Sexist,Anti-woman,ti sina,sensitivebitch,Anti-woman
Sexist,Anti-woman,silvirin,slag,Anti-woman
Sexist,Anti-woman,andan lwen,slapper,Anti-woman
Sexist,Anti-woman,pèlen,slut,Anti-woman
Sexist,Anti-woman,tou fon,wench,Anti-woman
Sexist,Anti-woman,andan fon,whore,Anti-woman
Sexual,Female anatomy,bouda,ass,Female anatomy
Sexual,Female anatomy,deyè,booty,Female anatomy
Sexual,Female anatomy,tete,breasts,Female anatomy
Sexual,Female anatomy,krèk,clit,Female anatomy
Sexual,Female anatomy,coco,pussy,Female anatomy
Sexual,Female anatomy,langyèt,tits,Female anatomy
Slurs,Anti-black,salopri,black bastard,Anti-black
Slurs,Anti-black,bouzen sal,black bitch,Anti-black
Slurs,Anti-black,san sal,black cunt,Anti-black
Slurs,Anti-black,san zave,black scum,Anti-black
Slurs,Anti-black,chen sal,black shit,Anti-black
Slurs,Anti-black,ti nèg nwè,black shite,Anti-black
Slurs,Anti-black,nèg sal,black snake,Anti-black
Slurs,Anti-black,moun sal,black thug,Anti-black
Slurs,Anti-black,nèg lèd,blackie,Anti-black
Slurs,Anti-black,nèg nwè,coloured,Anti-black
Slurs,Anti-black,ti salisan,colored,Anti-black
Special terms,Football-specific,yid,yid,Football-specific
Violence,Violent threats,boule,burn,Violent threats
Violence,Violent threats,boule,burned,Violent threats
Violence,Violent threats,ponyade,stab,Violent threats
Violence,Violent threats,tire,shoot,Violent threats
Violence,Violent threats,fizye,shot,Violent threats
