Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,lijpo,fruitcake,Learning disability
Ableist,Learning disability,autist,autist,Learning disability
Ableist,Learning disability,autie,autist,Learning disability
Ableist,Learning disability,achterlijk,idiotic,Learning disability
Ableist,Learning disability,waus,idiotic,Learning disability
Ableist,Learning disability,koekwaus,idiot,Learning disability
Ableist,Learning disability,halve gare,fruitcake,Learning disability
Ableist,Learning disability,halve zool,fruitcake,Learning disability
Ableist,Learning disability,holbewoner,cave person,Learning disability
Ableist,Learning disability,neanderthaler,neanderthal,Learning disability
Ableist,Learning disability,schizo,schizo,Learning disability
Ableist,Learning disability,slome,slow person,Learning disability
Ableist,Learning disability,sloom,slow,Learning disability
Dogwhistle,Immigration,allochtoon,foreign-born,Immigration
Dogwhistle,Immigration,asielzoeker,asylum seeker,Immigration
Dogwhistle,Immigration,immigratie,immigration,Immigration
Dogwhistle,Immigration,sharia,sharia,Immigration
Dogwhistle,Immigration,dobberneger,floating n-word/illegal immigrant,Immigration
Dogwhistle,Immigration,excuusneger,token n-word,Immigration
Dogwhistle,Immigration,buitenlander,foreigner,Immigration
Family,Geneology,moeder,mother,Geneology
Family,Geneology,vader,father,Geneology
Family,Geneology,zoon,son,Geneology
Family,Geneology,dochter,daughter,Geneology
Family,Geneology,opa,grandfather,Geneology
Family,Geneology,oma,grandmother,Geneology
Family,Geneology,familie,family,Geneology
Family,Geneology,genen,genes,Geneology
Family,Geneology,inteelt,inbred,Geneology
Family,Geneology,neef,nephew/cousin,Geneology
Family,Geneology,nicht,niece/cousin,Geneology
Family,Geneology,oom,uncle,Geneology
Family,Geneology,tante,aunt,Geneology
General abuse,General swearing,klootzak,scrotum ,General swearing
General abuse,General swearing,eikel,glans ,General swearing
General abuse,General swearing,lul,dick,General swearing
General abuse,General swearing,fuck,fuck,General swearing
General abuse,General swearing,kut,cunt,General swearing
General abuse,General swearing,sukkel,loser,General swearing
General abuse,General swearing,shit,shit,General swearing
General abuse,General swearing,fack,fuck,General swearing
General abuse,General swearing,idioot,idiot,General swearing
General abuse,General swearing,hufter,jerk,General swearing
General abuse,General swearing,zak,scrotum ,General swearing
General abuse,General swearing,klojo,jerk,General swearing
General abuse,General swearing,klootviool,wanker,General swearing
General abuse,General swearing,hoerenzoon,son of a whore,General swearing
General abuse,General swearing,kloothommel,wanker,General swearing
General abuse,General swearing,mierenneuker,nitpicker,General swearing
General abuse,General swearing,flapdrol,turd,General swearing
General abuse,General swearing,lamzak,numb nuts,General swearing
General abuse,General swearing,rotzak,jerk,General swearing
General abuse,General swearing,zakkenwasser,douchebag,General swearing
General abuse,General swearing,tjappie,loser,General swearing
General abuse,General swearing,chappie,loser,General swearing
General abuse,General swearing,droeftoeter,loser,General swearing
General abuse,General swearing,hansworst,loser,General swearing
General abuse,General swearing,rotjong,jerk,General swearing
General abuse,General swearing,hond,dog,General swearing
General abuse,General swearing,sul,loser,General swearing
General abuse,General swearing,lafaard,coward,General swearing
General abuse,General swearing,mafkees,weirdo,General swearing
General abuse,General swearing,kakkerlak,cockroach,General swearing
General abuse,General swearing,galbak,cranky,General swearing
General abuse,General swearing,lulhannes,loser,General swearing
General abuse,General swearing,kwal,slick, jellyfish,General swearing
General abuse,General swearing,schlemiel,loser,General swearing
General abuse,General swearing,prutser,loser,General swearing
General abuse,General swearing,kneus,loser,General swearing
General abuse,General swearing,kluns,loser,General swearing
General abuse,General swearing,aarslikker,ass licker,General swearing
General abuse,General swearing,ellendeling,miserable person,General swearing
General abuse,General swearing,gedrocht,monstrosity,General swearing
General abuse,General swearing,lamlul,numb nuts,General swearing
General abuse,General swearing,lamstraal,numb nuts,General swearing
General abuse,General swearing,lamgat,numb nuts,General swearing
General abuse,General swearing,malloot,idiot,General swearing
General abuse,General swearing,azijnpisser,cranky,General swearing
General abuse,General swearing,baardaap,ugly,General swearing
General abuse,General swearing,engerd,creep,General swearing
General abuse,General swearing,etterbak,bully,General swearing
General abuse,General swearing,hersenloos,brain dead,General swearing
General abuse,General swearing,hondenneuker,dog fucker,General swearing
General abuse,General swearing,janker,crybaby,General swearing
General abuse,General swearing,lafbek,coward,General swearing
General abuse,General swearing,lapzwans,loser,General swearing
General abuse,General swearing,leeghoofd,dumbass,General swearing
General abuse,General swearing,oelewapper,dumbass,General swearing
General abuse,General swearing,nietsnut,deadbeat,General swearing
General abuse,General swearing,onnozelaar,dumbass,General swearing
General abuse,General swearing,schoft,jerk,General swearing
General abuse,General swearing,slappeling,weak,General swearing
General abuse,General swearing,stomkop,idiot,General swearing
General abuse,General swearing,stommeling,idiot,General swearing
General abuse,General swearing,dommerik,idiot,General swearing
General abuse,General swearing,strontzak,shitbag,General swearing
General abuse,General swearing,uilskuiken,dumbass (baby owl),General swearing
Go back,Go back home,oprotten,fuck off,Go back home
Go back,Go back home,opkankeren,fuck off,Go back home
Go back,Go back home,opzouten,fuck off,Go back home
Homophobia,Anti-gay,flikker,fag,Anti-gay
Homophobia,Anti-gay,homo,homo,Anti-gay
Homophobia,Anti-gay,nicht,fag, fairy,Anti-gay
Homophobia,Anti-gay,miet,fag, pussy,Anti-gay
Homophobia,Anti-gay,mietje,fag, pussy,Anti-gay
Homophobia,Anti-gay,reetkever,fag,Anti-gay
