Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,debilu,debil,Learning disability
Ableist,Learning disability,amebo,amoebo,Learning disability
Ableist,Learning disability,bałwanie,idol,Learning disability
Ableist,Learning disability,kretynie,moron,Learning disability
Ableist,Learning disability,idioto,idiot,Learning disability
Ableist,Learning disability,głupku,fool,Learning disability
Ableist,Learning disability,spermiarzu,sperm whore,Learning disability
Ableist,Genetic disability,downie,spastic,Genetic disability
Ableist,Genetic disability,down,spacca,Genetic disability
Dogwhistle,Immigration,ciapak,asylum,Immigration
Dogwhistle,Immigration,imigrant,immigrant,Immigration
Dogwhistle,Immigration,obcy,immigration,Immigration
Dogwhistle,Immigration,obca,sharia,Immigration
Dogwhistle,Immigration,imigrantka,race-crime,Immigration
Dogwhistle,Terrorism,terroryzm,terrorism,Terrorism
Dogwhistle,Terrorism,terrorysta,terrorist,Terrorism
Dogwhistle,Terrorism,terroryzowany,terrorized,Terrorism
Dogwhistle,Terrorism,terroryzowana,terrorized,Terrorism
Dogwhistle,Terrorism,terroryzowani,terrorized,Terrorism
Dogwhistle,Terrorism,terrorystyczne,terrorist,Terrorism
Dogwhistle,Terrorism,terroryści,terrorists,Terrorism
Dogwhistle,Crime,bandyta,bandit,Crime
Dogwhistle,Crime,złodziej,thief,Crime
Dogwhistle,Crime,zabójca,killer,Crime
Dogwhistle,Crime,chuligan,hooligan,Crime
Dogwhistle,Crime,ćpun,junkie,Crime
Dogwhistle,Crime,diler,dealer,Crime
Dogwhistle,Crime,kryminalista,criminal,Crime
Dogwhistle,Crime,kryminał,jail,Crime
Dogwhistle,Crime,bandyci,bandits,Crime
Dogwhistle,Crime,złodzieje,thieves,Crime
Dogwhistle,Crime,złodziejstwo,thievery,Crime
Dogwhistle,Crime,zabójczyni,killer,Crime
Dogwhistle,Crime,zabójcy,killers,Crime
Dogwhistle,Crime,zabójcze,deadly,Crime
Dogwhistle,Crime,zabójstwo,murder,Crime
Dogwhistle,Crime,zabić,kill,Crime
Dogwhistle,Crime,chuligani,hooligans,Crime
Dogwhistle,Crime,chuligaństwo,hooliganism,Crime
Dogwhistle,Crime,ćpuni,junkies,Crime
Dogwhistle,Crime,ćpanie,taking drugs,Crime
Dogwhistle,Crime,dilowanie,dealing,Crime
Dogwhistle,Crime,dilerka,dealer,Crime
Dogwhistle,Crime,dile,deal,Crime
Dogwhistle,Gangs,członek gangu,gang,Gangs
Dogwhistle,Gangs,gangster,gangster,Gangs
Dogwhistle,Gangs,kibol,gangsta,Gangs
Family,Geneology,mama,mum ,Geneology
Family,Geneology,tata,dad,Geneology
Family,Geneology,brat,brother,Geneology
Family,Geneology,siostra,sister,Geneology
Family,Geneology,geny,genes,Geneology
Family,Relationships,dziewczyna,girlfriend,Relationships
Family,Relationships,chłopak,boyfriend,Relationships
Family,Marriage,żona,wife,Marriage
Family,Marriage,mąż,husband,Marriage
Family,Marriage,marzeczony,betrothed,Marriage
Family,Marriage,narzeczona,fiance,Marriage
Family,Marriage,dziecko,kid,Marriage
Family,Marriage,dziotka,aunt,Marriage
Family,Marriage,ciocia,auntie,Marriage
Family,Marriage,wój,voy,Marriage
Family,Marriage,wójek,uncle,Marriage
Family,Marriage,mama chrzestna,Godmother,Marriage
Family,Marriage,chrzestna,godmother,Marriage
Family,Marriage,ojciec chrzestny,the Godfather,Marriage
Family,Marriage,taka chrzestny,so godfather,Marriage
Family,Marriage,chrzestny,cartilaginous,Marriage
Family,Marriage,świadek,witness,Marriage
Family,Marriage,świadkowa,witness,Marriage
Family,Marriage,nrzeczeństwo,marriage,Marriage
General abuse,General swearing,zjebie,fuck,General swearing
General abuse,General swearing,ułomie,handicap,General swearing
General abuse,General swearing,pojebie,fuck,General swearing
General abuse,General swearing,pojebańcu,fucker,General swearing
General abuse,General swearing,spierdolino,fuck off,General swearing
General abuse,General swearing,kurwo jebana,fucking fuck,General swearing
General abuse,General swearing,kutasie,dick,General swearing
General abuse,General swearing,dziwko,bitch,General swearing
General abuse,General swearing,szmato,rag,General swearing
General abuse,General swearing,cipo,cunt,General swearing
General abuse,General swearing,alfonsie,pimp,General swearing
General abuse,General swearing,bandyto,bandit,General swearing
General abuse,General swearing,bęcwale,buffoons,General swearing
General abuse,General swearing,buraku,beetroot,General swearing
General abuse,General swearing,chamie,boor,General swearing
General abuse,General swearing,cwelu,bitch,General swearing
General abuse,General swearing,debilu,moron,General swearing
General abuse,General swearing,dupku,asshole,General swearing
General abuse,General swearing,durniu,fool,General swearing
General abuse,General swearing,dziuro w dupie,butthole,General swearing
General abuse,General swearing,fiucie,dick,General swearing
General abuse,General swearing,gnido,shit,General swearing
General abuse,General swearing,gwalcicielu,rapist,General swearing
General abuse,General swearing,Hitlerze,Hitler,General swearing
General abuse,General swearing,chuju,fuck,General swearing
General abuse,General swearing,jebańcu,fuck,General swearing
General abuse,General swearing,małpo,monkey,General swearing
General abuse,General swearing,menelu,bum,General swearing
General abuse,General swearing,morderco,killer,General swearing
General abuse,General swearing,padalcu,dead man,General swearing
General abuse,General swearing,pedofilu,pedophile,General swearing
General abuse,General swearing,pierdolcu,fuck,General swearing
General abuse,General swearing,pizdo,cunt,General swearing
General abuse,General swearing,półdupku,bum,General swearing
General abuse,General swearing,prostytutko,prostitute,General swearing
General abuse,General swearing,psie,dog,General swearing
