Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,não phẳng,flat-brained,Learning disability
Ableist,Learning disability,thiểu năng,retarded,Learning disability
Ableist,Learning disability,vô học / thất học,illiterate,Learning disability
Ableist,Learning disability,não ngắn,short-brained,Learning disability
Dogwhistle,Immigration,ngoại lai,foreigner,Immigration
Family,Geneology,cu,son,Geneology
Family,Geneology,mắm,daughter,Geneology
Family,Geneology,đĩ mẹ,bitch mother,Geneology
General abuse,General swearing,chó đẻ,dog offspring (bastard),General swearing
General abuse,General swearing,đụ / đụ má,fuck (fuck your mother),General swearing
General abuse,General swearing,địt cụ,fuck your elder,General swearing
General abuse,General swearing,đụ ngựa,fuck a horse,General swearing
General abuse,General swearing,mất dạy,illiterate,General swearing
General abuse,General swearing,đéo,fuck no,General swearing
General abuse,General swearing,đếch,fuck no,General swearing
General abuse,General swearing,con cặc,cock,General swearing
General abuse,General swearing,vãi lồn,squirting pussy,General swearing
General abuse,General swearing,buồi,dick,General swearing
Go back,Go back home,biến về quê,go back home,Go back home
Go back,Go back home,chui về rừng ở,go back to the jungle,Go back home
Go back,Go back home,cuốn xéo khỏi,fuck off from,Go back home
Homophobia,Anti-gay,bóng,feminine men, gay men,Anti-gay
Homophobia,Anti-gay,bóng lộ,openly homosexual,Anti-gay
Homophobia,Anti-gay,bóng kín,secretly homosexual,Anti-gay
Homophobia,Anti-gay,bóng cái,gay,Anti-gay
Homophobia,Anti-gay,pê-đê,homosexual ,Anti-gay
Homophobia,Anti-gay,ẻo lả,weak,Anti-gay
Homophobia,Anti-gay,ỏng ẹo,overly feminine,Anti-gay
Homophobia,Anti-gay,xăng pha nhớt,homosexual ,Anti-gay
Intracommunity slurs,Racially-motivated,Bắc Kỳ,Northerner (a slur used by Southerners),Racially-motivated
Intracommunity slurs,Racially-motivated,Nam Kỳ,Southerner (a slur used by Northerners),Racially-motivated
Intracommunity slurs,Racially-motivated,miên,Khmer people (used by people in Southern Vietnam),Racially-motivated
Intracommunity slurs,Racially-motivated,tàu khựa,Chinese,Racially-motivated
Intracommunity slurs,Racially-motivated,ba que,Vietnamese who sided with the Republic of Vietnam in the Vietnam War,Racially-motivated
Intracommunity slurs,Racially-motivated,mọi đen,African-American,Racially-motivated
Intracommunity slurs,Racially-motivated,hai lúa,people living in the countryside (used by urban dwellers),Racially-motivated
Possible slurs,Racial,mọi,dark-skinned,Racial
Possible slurs,Racial,mọi đen,African-American,Racial
Possible slurs,Racial,da đỏ,Native American,Racial
Possible slurs,Racial,Tây lông,Caucasian foreigner,Racial
Possible slurs,Racial,Nga ngố,Russian,Racial
Racial terms,Anti-aboriginal,mọi,dark-skinned,Anti-aboriginal
Racial terms,Anti-aboriginal,miên,Khmer people,Anti-aboriginal
Racist narrative,Anti-black,Mỹ đen,African-American,Anti-black
Racist narrative,Anti-black,mọi đen,dark-skinned,Anti-black
Racist narrative,Anti-black,mọi,dark-skinned,Anti-black
Sectarianism,Protestant-Catholic(particularly Ireland),tụi theo đạo,Catholic,Protestant-Catholic(particularly Ireland)
Sexist,Anti-woman,đĩ,slut / bitch,Anti-woman
Sexist,Anti-woman,điếm,courtesan,Anti-woman
Sexist,Anti-woman,háng rộng,loose vagina,Anti-woman
Sexual,Female anatomy,đít,butt,Female anatomy
Sexual,Female anatomy,vú,tits,Female anatomy
Sexual,Female anatomy,háng,crotch,Female anatomy
Slurs,Anti-black,mọi đen,dark-skinned,Anti-black
Slurs,Anti-black,Mỹ đen,African-American,Anti-black
Violence,Violent threats,thẻo,lynch,Violent threats
Violence,Violent threats,lụi,đâm,Violent threats
Violence,Violent threats,tạt axit,spray acid,Violent threats
Violence,Violent threats,lột da,skin,Violent threats
