Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,isidomu,low in mental thinking,Learning disability
Ableist,Learning disability,isilima,slow thinker,Learning disability
Ableist,Learning disability,ulibele,cant match basic human thinking levels,Learning disability
Ableist,Learning disability,isithingithingi,stupid person,Learning disability
Dogwhistle,Immigration,indawo yokukhosela,a fortress,Immigration
Dogwhistle,Immigration,isifiki,one who is foreign ,Immigration
Dogwhistle,Immigration,ezokuthuthela kwelinye izwe,to move into another country,Immigration
Dogwhistle,Immigration,umthetho waMasulumane,law of Muslims,Immigration
Dogwhistle,Immigration,ubugebengu bobuhlanga,hate related to race,Immigration
Dogwhistle,Immigration,ikwerekwere,a black immigrant,Immigration
Family,Geneology,uma / ubaba,mother and father figures,Geneology
Family,Geneology,ubhuti / udade wethu,brother and sister figures,Geneology
Family,Geneology,ufuzo,look alike features of within families,Geneology
Family,Geneology,ozelwe ngabandawonye,born by people of the same family,Geneology
Family,Geneology,ithayma,slang word for father,Geneology
Family,Geneology,olaydi,sland word for mother,Geneology
General abuse,General swearing,udoti,an insult to that means dirty,General swearing
General abuse,General swearing,isikobho somtoto,the head of a penis,General swearing
General abuse,General swearing,ingquze,womans genitals,General swearing
General abuse,General swearing,okwesibumbu,in relation to womans genitals,General swearing
General abuse,General swearing,zeka,have sexual intercorse,General swearing
General abuse,General swearing,okuyiwisa,ending with a head,General swearing
General abuse,General swearing,inhloko yesagila,big head,General swearing
General abuse,General swearing,okuyiwisa ekugcineni,ending with a round head,General swearing
General abuse,General swearing,amakaka,human waste ,General swearing
General abuse,General swearing,okungamakaka,related to human waste,General swearing
General abuse,General swearing,isixhefe somuntu,someone extremely annoying,General swearing
General abuse,General swearing,isidina somuntu,someone who is stupid and unplesant to be with,General swearing
General abuse,General swearing,unondlwaphu,someone who musterbates,General swearing
Go back,Go back home,phindela eAfrika,return to your African place,Go back home
Go back,Go back home,hamba la,go away from here,Go back home
Go back,Go back home,phindela ekhaya,go back to your home place,Go back home
Go back,Go back home,phindela e,go to a specific place,Go back home
Homophobia,Anti-gay,inkonkoni,attracted to same sex as a man,Anti-gay
Homophobia,Anti-gay,isitabane,man romantically attracted to other man,Anti-gay
Homophobia,Anti-gay,isitabane,man  attracted to other man,Anti-gay
Homophobia,Anti-gay,ubungqingili,romantically attracted to same gender,Anti-gay
Homophobia,Anti-gay,indoda eyingkonkoni,a man who is attracted to other man,Anti-gay
Homophobia,Anti-gay,indoda eyingqingili,a gay man,Anti-gay
Homophobia,Anti-gay,futha,blow air into something,Anti-gay
Homophobia,Anti-gay,umfuthi,the one who blows air,Anti-gay
Homophobia,Anti-gay,osangene ngokobulili,sexual and gender identities other than straight and cisgende,Anti-gay
Intracommunity slurs,Racially-motivated,intengo yomuntu,money paid to kill someone,Racially-motivated
Intracommunity slurs,Racially-motivated,umlungumnyama,A black person considered to have assimilated into white culture,Racially-motivated
Intracommunity slurs,Racially-motivated,abase Asia abangamafongkong,Asian Americans who are perceived to have been assimilated and acculturated into mainstream American culture and who do not conform to typical South Asian or East Asian cultures,Racially-motivated
Intracommunity slurs,Racially-motivated,udakhi,a contemptuous term used to refer to a Black person,Racially-motivated
Possible slurs,Racial,obandlululayo,a racist,Racial
Possible slurs,Racial,oyihlati,a person who wild in behaviour,Racial
Possible slurs,Racial,imfene muntu,a person who looks and acts like tarzan,Racial
Possible slurs,Racial,imfene ,an animal within the barboon family,Racial
Possible slurs,Racial,inkawu,a perons who is an albino,Racial
Possible slurs,Racial,i-nigga,a friendly way to call a person you associate with,Racial
Possible slurs,Racial,abomndeni wenkawu,people who resemble orangutans,Racial
Possible slurs,Racial,ama-rasta,relating to the Rastafarian religious movement.,Racial
Possible slurs,Racial,uhleko lokuphukuza,laugh in a half-suppressed, typically scornful way,Racial
Possible slurs,Racial,amabele,womans breasts,Racial
Racial terms,Anti-aboriginal,abokuvela eAustralia,people with Australian origin,Anti-aboriginal
Racial terms,Anti-aboriginal,abamnyama baseAustralia,black people from Australia,Anti-aboriginal
Racial terms,Anti-aboriginal,abaseziqhingini zase Australia,the various First Nations peoples of the Australian mainland and many of its islands,,Anti-aboriginal
Racial terms,Anti-aboriginal,abansundu baseAustralia,racila word for black people form Australia,Anti-aboriginal
Racist narrative,Anti-black,umfanomnyama,hateful expression to a black young man,Anti-black
Racist narrative,Anti-black,umgcekezi onsundu,a black person who burglers,Anti-black
Racist narrative,Anti-black,ubucala babamnayama,crime typical of black man,Anti-black
Racist narrative,Anti-black,isigangi esimnyama,a criminal of black skin,Anti-black
Racist narrative,Anti-black,izigelekeqe ezimnyama,black people who are a team of violent criminals,Anti-black
Racist narrative,Anti-black,ukubulawa kwabamnyama,killing of black skinned people,Anti-black
Racist narrative,Anti-black,umese wabamnyama,knife crafted for use by black people,Anti-black
Racist narrative,Anti-black,intwana emnyama,young black person,Anti-black
Sectarianism,Protestant-Catholic(particularly Ireland),oyi-fenian,a member of a legendary band of warriors defending Ireland ,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),ubudlwangudlwangu,Northern Ireland conflict, violent sectarian conflict,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),abaseRoma,relating to or associated with the Roman Catholic Church,Protestant-Catholic(particularly Ireland)
