Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,nuffy,retard,Ableism
Ableist,Genetic disability,spazo,spastic,Ableism
Ableist,Genetic disability,spazzo,spastic,Ableism
Dogwhistle,Immigration,reffo,refugee,Dogwhistle
Dogwhistle,Immigration,pomegranate,immigrant,Dogwhistle
Family,Marriage,misso,wife/girlfriend,Family
Homophobia,Anti-lesbian,leso,lesbian,Homophobia
Homophobia,Anti-lesbian,lemon,lesbian,Homophobia
Homophobia,Anti-lesbian,lezzo,lesbian,Homophobia
Possible slurs,Racial,wog,"racial slur, middle easterns",Racism
Possible slurs,Racial,camel jockey,"racial slur, for Arabs/middle easterns",Islamophobia
Racial term,Anti-black,blarab,"derogatory term for North African immigrants, specifically Sudanese",Racism
Sexist,Anti-woman,slapa,slapper,Sexism
Sexist,Anti-woman,moll,whore,Sexism
Sexist,Anti-woman,molly,whore,Sexism
Sexist,Anti-woman,mole,whore,Sexism
Sexual,Sex,root,shag,Sexual
Slurs,Anti-black,noomsie,black person,Racism
Slurs,Anti-black,noompsy,black person,Racism
Slurs,Anti-Asian,chinger,"racial slur, Chinese",Racism
Slurs,Anti-Asian,choonk,"racial slur, Chinese",Racism
Slurs,Anti-Asian,gook,"racial slur, Asians",Racism
Slurs,Anti-Asian,nip,"racial slurs, Asians",Racism
Slurs,Anti-Asian,slant,"racial slurs, East/SE Asians",Racism
Slurs,Anti-Asian,slope,"racial slurs, East/SE Asians",Racism
Slurs,Islamophobic,Darth Vaders,Muslim women wearing burka,Islamophobia
