Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,retardado,low intelligence man,Ableism
Ableist,Learning disability,retrasado,low intelligence man,Ableism
Ableist,Learning disability,boludo,low intelligence man,Ableism
Ableist,Learning disability,boludito,low intelligence little man,Ableism
Ableist,Learning disability,menso,low intelligence man,Ableism
Ableist,Learning disability,bobo,low intelligence man,Ableism
Ableist,Learning disability,imbécil,low intelligence man,Ableism
Ableist,Learning disability,lenteja,"low intelligence, slow ",Ableism
Ableist,Learning disability,lento,slow man,Ableism
Ableist,Learning disability,tarado,low intelligence man,Ableism
Ableist,Learning disability,estúpido,low intelligence man,Ableism
Ableist,Learning disability,autista,autistic,Ableism
Ableist,Learning disability,autista de mierda,shitty autistic person,Ableism
Ableist,Learning disability,retardada,low intelligence woman,Ableism
Ableist,Learning disability,retrasada,low intelligence woman,Ableism
Ableist,Learning disability,boluda,low intelligence woman,Ableism
Ableist,Learning disability,boludita,low intelligence little woman,Ableism
Ableist,Learning disability,mensa,low intelligence woman,Ableism
Ableist,Learning disability,boba,low intelligence woman,Ableism
Ableist,Learning disability,retardado de mierda,shitty low intelligence man,Ableism
Ableist,Learning disability,retardada de mierda,shitty low intelligence woman,Ableism
Ableist,Learning disability,retrasado de mierda,shitty low intelligence man,Ableism
Ableist,Learning disability,reetrasada de mierda,shitty low intelligence woman,Ableism
Ableist,Learning disability,lenta,slow woman,Ableism
Ableist,Learning disability,boludo de mierda,shitty low intelligence man,Ableism
Ableist,Learning disability,boluda de mierda,shitty low intelligence woman,Ableism
Ableist,Learning disability,boludito de mierda,shitty low intelligence little man,Ableism
Ableist,Learning disability,boludita de mierda,shitty low intelligence little woman,Ableism
Ableist,Learning disability,estúpida,low intelligence woan,Ableism
Ableist,Learning disability,estúpida de mierda,shitty low itelligence woman,Ableism
Ableist,Genetic disability,espástico,man with different skills,Ableism
Ableist,Genetic disability,mogólico,man with down syndrome,Ableism
Ableist,Genetic disability,sordo,deaf man,Ableism
Ableist,Genetic disability,ciego,blind man,Ableism
Ableist,Genetic disability,mogólico de mierda,shitty man with down syndrome,Ableism
Ableist,Genetic disability,sordo de mierda,shitty deaf man,Ableism
Ableist,Genetic disability,ciego de mierda,shitty blind man,Ableism
Ableist,Genetic disability,minusválido,a man with reduced mobility,Ableism
