Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,attardé,retarded,Ableism
Ableist,Learning disability,bipolaire,bipolar,Ableism
Ableist,Learning disability,taré,tare,Ableism
Ableist,Learning disability,attardé mental,mentally retarded,Ableism
Ableist,Learning disability,retard mental,Mental retardation,Ableism
Ableist,Learning disability,maladie mentale,mental illness,Ableism
Ableist,Genetic disability,attardé,retarded,Ableism
Ableist,Genetic disability,arriéré,back,Ableism
Ableist,Genetic disability,mongoloïde,mongoloid,Ableism
Ableist,Genetic disability,fou,mad,Ableism
Ableist,Genetic disability,bipolaire,bipolar,Ableism
Ableist,Genetic disability,retardé mental,mentally retarded,Ableism
Ableist,Genetic disability,attardé mental,mentally retarded,Ableism
Ableist,Genetic disability,crétin,dumbass,Ableism
Ableist,Genetic disability,stupide,dumb,Ableism
Ableist,Genetic disability,putain de mongole,fucking mongolian,Ableism
Ableist,Genetic disability,malades mentaux,mentally ill people,Ableism
Ableist,Genetic disability,néant,nil,Ableism
Dogwhistle,Immigration,sans-abri,homeless,Dogwhistle
Dogwhistle,Immigration,immigrant,immigrant,Dogwhistle
Dogwhistle,Immigration,voleur de travail,job thief,Dogwhistle
Dogwhistle,Immigration,criminel,criminal,Dogwhistle
Dogwhistle,Immigration,malfaiteur,malefactor,Dogwhistle
Dogwhistle,Immigration,violeur,rapist,Dogwhistle
Dogwhistle,Immigration,immigrant clandestin,illegal immigrant,Dogwhistle
Dogwhistle,Immigration,illégal,illegal,Dogwhistle
Dogwhistle,Terrorism,terroriste,terrorist,Dogwhistle
Dogwhistle,Terrorism,arabe,Arab,Dogwhistle
Dogwhistle,Terrorism,terrifiant,creepy,Dogwhistle
Dogwhistle,Terrorism,kamikaze,Suicide bomber,Dogwhistle
Dogwhistle,Terrorism,bombardements,bombing,Dogwhistle
Dogwhistle,Crime,intimidation,intimidation,Dogwhistle
Dogwhistle,Crime,brutalité,brutality,Dogwhistle
Dogwhistle,Crime,voleur,thief,Dogwhistle
Dogwhistle,Crime,criminel,criminal,Dogwhistle
Dogwhistle,Crime,criminalité,crime,Dogwhistle
Dogwhistle,Crime,ruffian,ruffian,Dogwhistle
Dogwhistle,Crime,hooligan,hooligan,Dogwhistle
Dogwhistle,Crime,criminel,criminal,Dogwhistle
Dogwhistle,Crime,tueur à gages,hitman,Dogwhistle
