Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,ritardato,retard,Ableism
Ableist,Learning disability,idiota,idiot,Ableism
Ableist,Learning disability,handicappato,handicapped,Ableism
Ableist,Learning disability,subnormale ,retard,Ableism
Ableist,Genetic disability,spastico,spastic,Ableism
Ableist,Genetic disability,scemo,spacca,Ableism
Ableist,Genetic disability,mong,mong,Ableism
Ableist,Genetic disability,mongolo,mongol,Ableism
Ableist,Genetic disability,mongoloide,mongoloid,Ableism
Ableist,Genetic disability,stupido,stupid,Ableism
Ableist,Genetic disability,deficiente ,moron ,Ableism
Dogwhistle,Immigration,asilo,asylum,Dogwhistle
Dogwhistle,Immigration,immigrato,immigrant,Dogwhistle
Dogwhistle,Immigration,immigrazione,immigration,Dogwhistle
Dogwhistle,Immigration,sharia,sharia,Dogwhistle
Dogwhistle,Immigration,crimine razziale,race-crime,Dogwhistle
Dogwhistle,Immigration,rom,Romani,Dogwhistle
Dogwhistle,Immigration,sinti,Romani,Dogwhistle
Dogwhistle,Immigration,clandestino,clandestine,Dogwhistle
Dogwhistle,Immigration,nomade ,nomad ,Dogwhistle
Dogwhistle,Immigration,profugo,refugee,Dogwhistle
Dogwhistle,Immigration,vu cumprà ,Those of African origin,Dogwhistle
Dogwhistle,Immigration,zingaro,Rom/Sinti,Dogwhistle
Dogwhistle,Terrorism,terrorismo,terror,Dogwhistle
Dogwhistle,Terrorism,terrorista,terrorist,Dogwhistle
Dogwhistle,Terrorism,terrorizzato,terrorised,Dogwhistle
Dogwhistle,Terrorism,terrorizzare,terrorising,Dogwhistle
Dogwhistle,Terrorism,attentatore ,bomber ,Dogwhistle
Dogwhistle,Crime,teppista,thug,Dogwhistle
Dogwhistle,Crime,teppismo,thuggery,Dogwhistle
Dogwhistle,Crime,delinquente,thugly,Dogwhistle
Dogwhistle,Crime,criminale,criminal,Dogwhistle
Dogwhistle,Crime,criminalità,criminality,Dogwhistle
Dogwhistle,Crime,malvivente ,thug ,Dogwhistle
Dogwhistle,Crime,malavitoso,gangster,Dogwhistle
Dogwhistle,Crime,fuorilegge,criminal ,Dogwhistle
Dogwhistle,Gangs,banda,gang,Dogwhistle
Dogwhistle,Gangs,malvivente,gangster,Dogwhistle
Dogwhistle,Gangs,gentaglia,gangsta,Dogwhistle
Dogwhistle,Gangs,mafioso,mafioso/mob,Dogwhistle
Dogwhistle,Gangs,camorrista,member of the Camorra (Naples mafia),Dogwhistle
Family,Geneology,mamma,mum,Family
Family,Geneology,papà,dad,Family
Family,Geneology,fratello,brother,Family
Family,Geneology,sorella,sister,Family
Family,Geneology,geni,genes,Family
Family,Geneology,consanguineo,inbred,Family
Family,Geneology,parenti,relatives,Family
Family,Relationships,ragazza,girlfriend,Family
Family,Relationships,ragazzo,boyfriend,Family
Family,Relationships,il suo tipo,"""his/her boyfriend""",Family
Family,Relationships,la sua tipa ,"""his/her girlfriend""",Family
Family,Marriage,moglie,wife,Family
Family,Marriage,marito,husband,Family
Family,Marriage,fidanzato,fiance,Family
Family,Marriage,fidanzata,fiancee,Family
General abuse,General swearing,bastardo,bastard,General abuse
General abuse,General swearing,testa di cazzo,bell end,General abuse
General abuse,General swearing,fica,cunt,General abuse
General abuse,General swearing,coglione,cuntie,General abuse
General abuse,General swearing,fottere,fuck,General abuse
General abuse,General swearing,cazzo,knob,General abuse
General abuse,General swearing,testa di minchia,knobhead,General abuse
General abuse,General swearing,cazzone,knobend,General abuse
General abuse,General swearing,merda,shit,General abuse
General abuse,General swearing,stronzo,shitty,General abuse
General abuse,General swearing,coglione,thundercunt,General abuse
General abuse,General swearing,disgraziato,tosser,General abuse
General abuse,General swearing,segaiolo,wanker,General abuse
General abuse,General swearing,pezzo di merda,piece of shit,General abuse
General abuse,General swearing,minchia ,dick/shit,General abuse
General abuse,General swearing,cretino,moron,General abuse
General abuse,General swearing,imbecille ,imbecile ,General abuse
General abuse,General offensive emoji,dito medio,:middle_finger:,General abuse
General abuse,General offensive emoji,campana/freccia,:bell: :END_arrow:,General abuse
General abuse,General offensive emoji,tono di pelle scuro/ goccioline,:oncoming_fist_dark_skin_tone::sweat_droplets:,General abuse
General abuse,General offensive emoji,ratto/topo,:rat:,General abuse
General abuse,General offensive emoji,serpente,:snake:,General abuse
General abuse,Paedophilia,pedofilo,paedo,General abuse
General abuse,Paedophilia,pedofilo,paedophilic,General abuse
General abuse,Paedophilia,molestatore di bambini,child abuser,General abuse
General abuse,Paedophilia,maniaco,maniac,General abuse
General abuse,Paedophilia,pervertito,pervert,General abuse
General abuse,Paedophilia,molestatore ,abuser (generic),General abuse
General abuse,Dishonesty,vipera,snake (But it is generally used in an offensive way only against women),General abuse
General abuse,Dishonesty,furfante,villain,General abuse
General abuse,Dishonesty,farabutto ,ruffian,General abuse
General abuse,Dishonesty,imbroglione ,cheater ,General abuse
Go back,Go back home,ritorna in Africa,go back to Africa,Xenophobia
Go back,Go back home,tornatevene a fanculo/,fuck off back,Xenophobia
Go back,Go back home,torna a casa,go back home,Xenophobia
Go back,Go back home,andatevene a,go back to,Xenophobia
Go back,Go back home,vai a farti fottere,fuck off,Xenophobia
Go back,Go back home,vai a fanculo,fuck off,Xenophobia
Go back,Go back home,vai a cagare,fuck off,Xenophobia
Go back,Go back home,vai a quel paese,fuck off,Xenophobia
Homophobia,Anti-gay,finocchio,fag,Homophobia
Homophobia,Anti-gay,gay,gay,Homophobia
Homophobia,Anti-gay,gayyyyyyy,gayyyyyy,Homophobia
Homophobia,Anti-gay,omo,homo,Homophobia
Homophobia,Anti-gay,frocio,poof,Homophobia
Homophobia,Anti-gay,recchione,poofter,Homophobia
Homophobia,Anti-gay,culattone,puff,Homophobia
Homophobia,Anti-gay,ricchione,puffter,Homophobia
Homophobia,Anti-gay,queer,queer,Homophobia
Homophobia,Anti-gay,succhiacazzo,gay,Homophobia
Homophobia,Anti-gay,ciucciacazzi,gay,Homophobia
Homophobia,Anti-gay,ciucciapiselli,gay,Homophobia
Homophobia,Anti-gay,sucaminchia,gay,Homophobia
Homophobia,Anti-gay,piglia(i)nculo ,gay,Homophobia
Homophobia,Anti-lesbian,lesbica,dyke,Homophobia
Homophobia,Anti-lesbian,lesbica,butch,Homophobia
Homophobia,Anti-lesbian,lesbica,lesbian,Homophobia
Homophobia,Anti-lesbian,lesbo,lesbo,Homophobia
Homophobia,Anti-lesbian,lesbica,lezzer,Homophobia
Homophobia,Anti-lesbian,camionista,girl who is masculine,Homophobia
Homophobia,Anti-lesbian,maschiaccio,girl who is masculine,Homophobia
Homophobia,Anti-lesbian,cravattona,lesbian,Homophobia
Homophobia,Anti-lesbian,lella,lesbian,Homophobia
Homophobia,Anti-trans,trans,tranny,Transphobia
Homophobia,Anti-trans,trans,trans,Transphobia
Homophobia,Anti-trans,transgender,transgender,Transphobia
Homophobia,Anti-trans,donne trans,transwomen,Transphobia
Homophobia,Anti-trans,travestito,transwomen,Transphobia
Intracommunity slurs,Racially-motivated,bounty,nero,Intracommunal slurs
Intracommunity slurs,Racially-motivated,choc ice,gelato al cioccolato,Intracommunal slurs
Intracommunity slurs,Racially-motivated,coconut,cocco,Intracommunal slurs
Intracommunity slurs,Racially-motivated,coon,cocco,Intracommunal slurs
Possible slurs,Racial,scimmia,ape,Racism
Possible slurs,Racial,giungla,jungle,Racism
Possible slurs,Racial,scimpanzé,chimp,Racism
Possible slurs,Racial,scimpanzé,chimpanzee,Racism
Possible slurs,Racial,macaco,monkey,Racism
Possible slurs,Racial,negro,nigga,Racism
Possible slurs,Racial,oranghi,orangutans,Racism
Possible slurs,Racial,rasta,rasta,Racism
Possible slurs,Racial,sniffo,snigger,Racism
Possible slurs,Racial,sporco nero,nasty nigga,Racism
Possible slurs,Racial,schiavo,slave ,Racism
Possible slurs,Racial,extracomunitario,non-EU,Racism
Possible slurs,Racial,clandestino ,illegal immigrant ,Racism
Possible slurs,Antisemitic,zio,zio,Antisemitism
Possible slurs,Antisemitic,sionista,zionist,Antisemitism
Possible slurs,Antisemitic,sionismo,zionism,Antisemitism
Racial term,Anti-aboriginal,aborigeno,aboriginal,Racism
Racial term,Anti-aboriginal,abo,abo,Racism
Racial term,Anti-aboriginal,aborigeno,abbo,Racism
Racial term,Anti-aboriginal,barbone,boong,Racism
Racial term,Anti-black,negro,black,Racism
Racial term,Anti-black,africano,african,Racism
Racial term,Anti-black,vu cumprà,the knee,Racism
Racial term,Islamophobic,musulmano,muslim,Islamophobia
Racial term,Islamophobic,islamico,islamic,Islamophobia
Racial term,Islamophobic,islami,islami,Islamophobia
Racial term,Islamophobic,pakistano,pakistani,Islamophobia
Racial term,Antisemitic,ebreo ,jewish,Antisemitism
Racial term,Antisemitic,giudeo,jewish,Antisemitism
Racial term,Antisemitic,sporco ebreo,nasty jewish,Antisemitism
Racist narrative,Anti-fascists,antifaterroristi,antifaterrorists,Political
Racist narrative,Islamphobic,adescamento,grooming,Islamophobia
Racist narrative,Islamphobic,palestinesi,palestinians,Islamophobia
Racist narrative,Rape,violenza sessuale,rape fighting,Violence
Racist narrative,Rape,bande di stupratori,rape gangs,Violence
Racist narrative,Rape,vittime di stupro,rape victims,Violence
Racist narrative,Rape,sostegno allo stupro,support rape,Violence
Racist narrative,Rape,abuso sessuale ,rape,Violence
