Category,Subcategory,Local term,English translation,Simple Category
Ableist,Learning disability,障がい者,retard,Ableism
Ableist,Learning disability,知能遅れ,tard,Ableism
Ableist,Genetic disability,とんま,spastic,Ableism
Ableist,Genetic disability,雑種/ 部外者,mong,Ableism
Ableist,Genetic disability,ダウン症,mongol,Ableism
Ableist,Genetic disability,ダウン症,mongoloid,Ableism
Dogwhistle,Immigration,亡命,asylum,Dogwhistle
Dogwhistle,Immigration,移民,immigrant,Dogwhistle
Dogwhistle,Immigration,移民,immigration,Dogwhistle
Dogwhistle,Immigration,シャリア,sharia,Dogwhistle
Dogwhistle,Immigration,人種犯罪,race-crime,Dogwhistle
Dogwhistle,Terrorism,テロ,terror,Dogwhistle
Dogwhistle,Terrorism,テロリスト,terrorist,Dogwhistle
Dogwhistle,Terrorism,テロライズ,terrorised,Dogwhistle
Dogwhistle,Terrorism,脅迫する,terrorising,Dogwhistle
Dogwhistle,Crime,チンピラ,thug,Dogwhistle
Dogwhistle,Crime,チンピラ,thuggery,Dogwhistle
Dogwhistle,Crime,チンピラ,thugly,Dogwhistle
Dogwhistle,Crime,犯罪者,criminal,Dogwhistle
Dogwhistle,Crime,犯罪性,criminality,Dogwhistle
Dogwhistle,Gangs,ヤクザ,gang,Dogwhistle
Dogwhistle,Gangs,暴走族,gang,Dogwhistle
Dogwhistle,Gangs,ヤクザ,gangster,Dogwhistle
Dogwhistle,Gangs,ヤクザ,gangsta,Dogwhistle
Family,Geneology,お母さん,mum,Family
Family,Geneology,お父さん,dad,Family
Family,Geneology,兄弟,brother,Family
Family,Geneology,姉妹,sister,Family
Family,Geneology,遺伝,genes,Family
Family,Geneology,育ちが悪い,inbred,Family
Family,Relationships,彼女,girlfriend,Family
Family,Relationships,彼氏,boyfriend,Family
Family,Marriage,妻,wife,Family
Family,Marriage,夫,husband,Family
Family,Marriage,婚約者,fiance,Family
Family,Marriage,婚約者,fiancee,Family
General abuse,General swearing,クソ野郎,bastard,General abuse
General abuse,General swearing,馬鹿,bell end,General abuse
General abuse,General swearing,うざい奴,cunt,General abuse
General abuse,General swearing,うざい奴,cuntie,General abuse
General abuse,General swearing,クソ,fuck,General abuse
General abuse,General swearing,ちんこ/ 男性器,knob,General abuse
General abuse,General swearing,ばか,knobhead,General abuse
General abuse,General swearing,嫌なやつ,knobend,General abuse
General abuse,General swearing,くそ,shit,General abuse
General abuse,General swearing,劣悪な,shitty,General abuse
General abuse,General swearing,愚か者,tosser,General abuse
General abuse,Paedophilia,ろくでなし,wanker,General abuse
General abuse,Paedophilia,幼児愛者,paedo,General abuse
General abuse,Paedophilia,小児生愛者,paedophilic,General abuse
General abuse,Dishonesty,性的異常者,nonce,General abuse
General abuse,Dishonesty,裏切り者,rat,General abuse
General abuse,Dishonesty,悪口ばかり言う奴,snake,General abuse
Go back,Go back home,アフリカに帰れ,go back to Africa,Xenophobia
Go back,Go back home,消えろ,fuck off back,Xenophobia
Go back,Go back home,家に帰る,go back home,Xenophobia
Go back,Go back home,~に戻る,go back to,Xenophobia
Homophobia,Anti-gay,ホモ,fag,Homophobia
Homophobia,Anti-gay,ゲイ,gay,Homophobia
Homophobia,Anti-gay,ゲーーーーイ,gayyyyyy,Homophobia
Homophobia,Anti-gay,ホモ,homo,Homophobia
Homophobia,Anti-gay,おかま,poof,Homophobia
Homophobia,Anti-gay,おかま,poofter,Homophobia
Homophobia,Anti-gay,意気地なし,puff,Homophobia
Homophobia,Anti-gay,意気地なし,puffter,Homophobia
Homophobia,Anti-gay,同性愛者,queer,Homophobia
Homophobia,Anti-lesbian,レズ,dyke,Homophobia
Homophobia,Anti-lesbian,レズ/ 男っぽい女の人,butch,Homophobia
Homophobia,Anti-lesbian,レズビアン,lesbian,Homophobia
Homophobia,Anti-lesbian,レズ,lesbo,Homophobia
