Category,Subcategory,Local term,English translation,Simple category
Slurs,Anti-Asian,짱깨,chink,Anti-Asian
Slurs,Anti-Black,깜둥이,Nigger,Anti-Black
Ableist,Learning disability,저능아,retard,Learning disability
Ableist,Learning disability,정신지체아,retard,Learning disability
Ableist,Learning disability,등신,twat,Learning disability
Ableist,Learning disability,꼴통,dumbhead,Learning disability
Ableist,Learning disability,머저리,noggin,Learning disability
Ableist,Learning disability,지적장애인,idiot,Learning disability
Ableist,Learning disability,얼간이,mutt,Learning disability
Ableist,Learning disability,바보,jerk,Learning disability
Ableist,Learning disability,멍청이,tosser,Learning disability
Ableist,Learning disability,띨빡,fool,Learning disability
Ableist,Genetic disability,뇌성마비,spastic,Genetic disability
Ableist,Genetic disability,곰보,pockmarked person,Genetic disability
Ableist,Genetic disability,몽골,Down's syndrome,Genetic disability
Ableist,Genetic disability,절름발이,cripple,Genetic disability
Ableist,Genetic disability,벙어리,dumb,Genetic disability
Ableist,Genetic disability,외눈박이,cyclops,Genetic disability
Ableist,Genetic disability,귀머거리,deaf,Genetic disability
Ableist,Genetic disability,난쟁이,midget,Genetic disability
Ableist,Genetic disability,애자,disabled,Genetic disability
Ableist,Genetic disability,고자,eunuch,Genetic disability
Ableist,Genetic disability,장님,blind,Genetic disability
Ableist,Genetic disability,앉은뱅이,cripple,Genetic disability
Ableist,Genetic disability,병신,disabled,Genetic disability
Ableist,Genetic disability,애꾸눈,cyclops,Genetic disability
Dogwhistle,Immigration,외노자,Southeastern Asian,Immigration
Dogwhistle,Immigration,짱깨,Chinese,Immigration
Dogwhistle,Immigration,오랑캐,Chinese,Immigration
Dogwhistle,Immigration,짱꼴라,Chinese,Immigration
Dogwhistle,Immigration,파키벌레,Paki,Immigration
Dogwhistle,Immigration,섬짱깨,Taiwanese,Immigration
Dogwhistle,Immigration,조선족,Chinese,Immigration
Dogwhistle,Immigration,조선인,Chinese,Immigration
Dogwhistle,Crime,날치기,pickpocket,Crime
Dogwhistle,Crime,퍽치기,slapping,Crime
Dogwhistle,Crime,학폭남,boy committing school violence,Crime
Dogwhistle,Crime,학폭녀,girl committing school violence,Crime
Dogwhistle,Crime,약쟁이,drug addict,Crime
Dogwhistle,Crime,왕따를 시키다,bully,Crime
Dogwhistle,Crime,왕따를 당하다,outcast, bullied person,Crime
Dogwhistle,Crime,뽕,philopon,Crime
Dogwhistle,Crime,콩밥을 먹다,be in the slammer,Crime
Dogwhistle,Crime,약을 빨다,do dope,Crime
Dogwhistle,Gangs,야쿠자,Japanese gang,Gangs
Dogwhistle,Gangs,조폭,Korean gang,Gangs
Dogwhistle,Gangs,건달,sculpin,Gangs
Dogwhistle,Gangs,깡패,gangster,Gangs
Dogwhistle,Gangs,날라리,punk, lout,Gangs
Family,Geneology,애미,mother,Geneology
Family,Geneology,애비,father,Geneology
Family,Geneology,니미,your mother,Geneology
Family,Geneology,니애미,your mother,Geneology
Family,Geneology,엠창,mother whore,Geneology
Family,Geneology,엄창,mother whore,Geneology
Family,Relationships,깔,girlfriend,Relationships
Family,Relationships,깔따구,girlfriend,Relationships
Family,Relationships,호구,boyfriend, pushover,Relationships
Family,Relationships,사생아,bastard,Relationships
Family,Relationships,돈줄,boyfriend who spends lots of money for girlfriend,Relationships
Family,Marriage,마누라,wife,Marriage
Family,Marriage,여편네,wife,Marriage
Family,Marriage,홀애비,single father,Marriage
Family,Marriage,홀어미,single mother,Marriage
Family,Marriage,쇼윈도 부부,couple who look as if they don't love each other but keep their marriage life,Marriage
Family,Marriage,ATM 아빠,father who just work to earn for his family,Marriage
Family,Marriage,허수아비 아빠,father who has no power in his family,Marriage
General abuse,General swearing,새끼,bastard,General swearing
General abuse,General swearing,개자식,son of bitch,General swearing
General abuse,General swearing,씨,fuck,General swearing
General abuse,General swearing,씨발,fuck,General swearing
General abuse,General swearing,썅,fuck,General swearing
General abuse,General swearing,시벌,fuck,General swearing
General abuse,General swearing,시발,fuck,General swearing
General abuse,General swearing,씨벌,fuck,General swearing
General abuse,General swearing,재수없다,full of yourself,General swearing
General abuse,General swearing,재섭다,full of yourself,General swearing
General abuse,General swearing,개소리,crap,General swearing
General abuse,General swearing,헛소리,bullshit,General swearing
General abuse,General swearing,오타쿠,nerd,General swearing
General abuse,General swearing,오덕후,nerd,General swearing
General abuse,General swearing,찐따,loser,General swearing
General abuse,General swearing,개새끼,son of bitch,General swearing
General abuse,General swearing,인간쓰레기,trash,General swearing
General abuse,General swearing,개놈,bastard,General swearing
General abuse,General swearing,개년,bitch,General swearing
General abuse,General swearing,썅년,bitch,General swearing
General abuse,General swearing,놈,bastard,General swearing
General abuse,General swearing,년,bitch,General swearing
General abuse,General swearing,개차반,scum,General swearing
General abuse,General swearing,핏덩이,greenhorn,General swearing
General abuse,Dishonesty,쥐새끼,a mean rat,Dishonesty
General abuse,Dishonesty,뱀,roughie,Dishonesty
General abuse,Dishonesty,사기꾼,swindler,Dishonesty
General abuse,Dishonesty,뻥치다,lie,Dishonesty
General abuse,Dishonesty,뻥까다,lie,Dishonesty
General abuse,Dishonesty,구라치다,lie,Dishonesty
General abuse,Dishonesty,구라,lying,Dishonesty
General abuse,Dishonesty,개구라,lie,Dishonesty
General abuse,Dishonesty,개구라치다,lie,Dishonesty
General abuse,Dishonesty,뻥,lying,Dishonesty
General abuse,Dishonesty,뺑끼,cheating,Dishonesty
General abuse,Dishonesty,뺑기치다,cheat,Dishonesty
General abuse,Dishonesty,뺑기를 치다,cheat,Dishonesty
Go back,Go back home,꺼져버려,fuck off,Go back home
Go back,Go back home,꺼져,fuck off,Go back home
Go back,Go back home,꺼지삼,fuck off,Go back home
Go back,Go back home,내 눈 앞에서 사라져,fuck off,Go back home
Go back,Go back home,니네 나라로 꺼져,fuch off to your country,Go back home
Go back,Go back home,사라져,fuck off,Go back home
Homophobia,Anti-gay,게이,gay,Anti-gay
Homophobia,Anti-gay,호모,homo,Anti-gay
Homophobia,Anti-gay,호모 새끼,homo,Anti-gay
Homophobia,Anti-gay,게이새끼,gay,Anti-gay
Homophobia,Anti-gay,똥꼬충,gay,Anti-gay
Homophobia,Anti-gay,항문섹스,gay,Anti-gay
Homophobia,Anti-lesbian,가위충,lesbian,Anti-lesbian
Homophobia,Anti-lesbian,레즈년,lesbian,Anti-lesbian
Homophobia,Anti-lesbian,레즈,lesbian,Anti-lesbian
Homophobia,Anti-lesbian,보빔,lesbian,Anti-lesbian
Homophobia,Anti-trans,젠신병자,transgender,Anti-trans
Homophobia,Anti-trans,내시,transgender,Anti-trans
Homophobia,Anti-trans,트젠,transgender,Anti-trans
Homophobia,Anti-trans,젠천지,transgender,Anti-trans
Homophobia,Anti-trans,자지공예,Gender Reassignment Surgery,Anti-trans
Homophobia,Anti-trans,중성화남,transgender,Anti-trans
Homophobia,Anti-bisexual,박쥐,bisexual,Anti-bisexual
Homophobia,Anti-bisexual,양성충,bisexual,Anti-bisexual
Intracommunity slurs,Racially-motivated,깜둥이,coon,Racially-motivated
Intracommunity slurs,Racially-motivated,깜씨,mixed-blood,Racially-motivated
Intracommunity slurs,Racially-motivated,외노자,southeast Asian,Racially-motivated
Intracommunity slurs,Racially-motivated,똥남아,gook,Racially-motivated
Intracommunity slurs,Racially-motivated,불체자,gook,Racially-motivated
Intracommunity slurs,Racially-motivated,검둥이,nigga,Racially-motivated
Sectarianism,Protestantism,개독,Doggy Christian,Protestantism
Sectarianism,Protestantism,개독교,doggy Christian,Protestantism
Sectarianism,Protestantism,예수쟁이,Jejus lover,Protestantism
Sectarianism,Buddhism,땡중,monk,Buddhism
Sectarianism,Buddhism,중놈,monk,Buddhism
Sexist,Anti-woman,걸레,whore,Anti-woman
Sexist,Anti-woman,창녀,whore,Anti-woman
Sexist,Anti-woman,갈보,harlot,Anti-woman
Sexist,Anti-woman,갈보질,prostitution of woman,Anti-woman
Sexist,Anti-woman,김치녀,golddigger,Anti-woman
Sexist,Anti-woman,된장녀,snob,Anti-woman
Sexist,Anti-woman,한녀,snob,Anti-woman
Sexist,Anti-woman,계집애,bitch,Anti-woman
Sexist,Anti-woman,기집애,bitch,Anti-woman
Sexist,Anti-woman,계집년,bitch,Anti-woman
Sexist,Anti-woman,백마,white female,Anti-woman
Sexist,Anti-woman,흑마,black female,Anti-woman
Sexist,Anti-woman,퐁퐁녀,golddigger,Anti-woman
Sexist,Anti-woman,맘충,mum-roach,Anti-woman
Sexist,Anti-woman,골빈년,stupid bitch,Anti-woman
Sexist,Anti-woman,별창녀,coin prostitution,Anti-woman
Sexist,Anti-man,소추,small penis,Anti-man
Sexist,Anti-man,소추남,man with small penis,Anti-man
Sexist,Anti-man,한남,anti-feminist man,Anti-man
Sexist,Anti-man,일베충,anti-feminist man,Anti-man
Sexist,Anti-feminist,여시,feminist,Anti-feminist
Sexist,Anti-feminist,메갈,feminist,Anti-feminist
Sexist,Anti-feminist,보슬아치,feminist,Anti-feminist
Sexist,Anti-feminist,꼴페미,feminist,Anti-feminist
Sexist,Anti-feminist,꼴페,feminist,Anti-feminist
Sexual,Female anatomy,보지,pussy,Female anatomy
Sexual,Female anatomy,씹구멍,vagina,Female anatomy
