Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,retard,retard,Learning disability
Ableist,Learning disability,retardo,tard,Learning disability
Dogwhistle,Immigration,asyl,asylum,Immigration
Dogwhistle,Immigration,immigrant,immigrant,Immigration
Dogwhistle,Immigration,immigration,immigration,Immigration
Dogwhistle,Immigration,sharia,sharia,Immigration
Dogwhistle,Immigration,race-kriminalitet,race-crime,Immigration
Family,Geneology,mor / far,mum / dad,Geneology
Family,Geneology,bror / søster,brother / sister,Geneology
Family,Geneology,gener,genes,Geneology
Family,Geneology,indavl,inbred,Geneology
General abuse,General swearing,bastard,bastard,General swearing
General abuse,General swearing,idiot,bell end,General swearing
General abuse,General swearing,cunt,cunt,General swearing
General abuse,General swearing,svans,cuntie,General swearing
General abuse,General swearing,fuck,fuck,General swearing
General abuse,General swearing,pik ,knob,General swearing
General abuse,General swearing,pikfjæs,knobhead,General swearing
General abuse,General swearing,pikhoved,knobend,General swearing
General abuse,General swearing,shit,shit,General swearing
General abuse,General swearing,lort,shitty,General swearing
General abuse,General swearing,tordenkusse,thundercunt,General swearing
General abuse,General swearing,tosse,tosser,General swearing
General abuse,General swearing,narrøv,wanker,General swearing
Go back,Go back home,Tag hjem til Afrika,go back to Africa,Go back home
Go back,Go back home,Fuck af,fuck off back,Go back home
Go back,Go back home,Tag hjem igen,go back home,Go back home
Go back,Go back home,Tag tilbage til,go back to,Go back home
Homophobia,Anti-gay,fag,fag,Anti-gay
Homophobia,Anti-gay,bøsse,gay,Anti-gay
Homophobia,Anti-gay,bøsserøv,gayyyyyy,Anti-gay
Homophobia,Anti-gay,homo,homo,Anti-gay
Homophobia,Anti-gay,svans,poof,Anti-gay
Homophobia,Anti-gay,tarmridder,poofter,Anti-gay
Homophobia,Anti-gay,pikfjæs,puff,Anti-gay
Homophobia,Anti-gay,faggot,puffter,Anti-gay
Homophobia,Anti-gay,queer,queer,Anti-gay
Intracommunity slurs,Racially-motivated,bounty,bounty,Racially-motivated
Intracommunity slurs,Racially-motivated,vanilje-dækket chokolade,choc ice,Racially-motivated
Intracommunity slurs,Racially-motivated,kokosnød,coconut,Racially-motivated
Intracommunity slurs,Racially-motivated,sommerfugl,coon,Racially-motivated
Possible slurs,Racial,abe,ape,Racial
Possible slurs,Racial,jungle,jungle,Racial
Possible slurs,Racial,chimpanse,chimp,Racial
Possible slurs,Racial,chimpanse,chimpanzee,Racial
Possible slurs,Racial,abe,monkey,Racial
Possible slurs,Racial,neger,nigga,Racial
Possible slurs,Racial,orangutang,orangutans,Racial
Possible slurs,Racial,rasta,rasta,Racial
Possible slurs,Racial,vandmelon,watermelon,Racial
Racial terms,Anti-aboriginal,aboriginal,aboriginal,Anti-aboriginal
Racial terms,Anti-aboriginal,fremmede,abo,Anti-aboriginal
Racial terms,Anti-aboriginal,de fremmede,abbo,Anti-aboriginal
Racial terms,Anti-aboriginal,fjols,boong,Anti-aboriginal
Racist narrative,Anti-black,sort dreng,black boy,Anti-black
Racist narrative,Anti-black,sort tyveri,black burglary,Anti-black
Racist narrative,Anti-black,sorte forbrydelser,black crime,Anti-black
Racist narrative,Anti-black,sort kriminel,black criminal,Anti-black
Racist narrative,Anti-black,sort bande,black gang,Anti-black
Racist narrative,Anti-black,sorte drab,black killings,Anti-black
Racist narrative,Anti-black,sort kniv,black knife,Anti-black
Racist narrative,Anti-black,sort knægt,black lad,Anti-black
Sectarianism,Protestant-Catholic(particularly Ireland),fenian,fenian,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),ira,ira,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),papist,papist,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),prod,prod,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),lort,ruc,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),kom,taig,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),komme,taigs,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),teague,teague,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),uvf,uvf,Protestant-Catholic(particularly Ireland)
Sexist,Anti-woman,bitch,bitch,Anti-woman
Sexist,Anti-woman,sensitive kælling,sensitivebitch,Anti-woman
Sexist,Anti-woman,luder,slut,Anti-woman
Sexist,Anti-woman,tøs,wench,Anti-woman
Sexist,Anti-woman,luder,whore,Anti-woman
Sexual,Female anatomy,røv,ass,Female anatomy
Sexual,Female anatomy,booty,booty,Female anatomy
Sexual,Female anatomy,bryster,breasts,Female anatomy
Sexual,Female anatomy,klit,clit,Female anatomy
Sexual,Female anatomy,pussy,pussy,Female anatomy
Sexual,Female anatomy,patter,tits,Female anatomy
Slurs,Anti-black,sorte svin,sorte svin,Anti-black
Slurs,Anti-black,sorte kælling,sorte kælling,Anti-black
Slurs,Anti-black,sorte cunt,sorte cunt,Anti-black
Slurs,Anti-black,sorte afkom,sorte afkom,Anti-black
Slurs,Anti-black,sorte lort,sorte lort,Anti-black
Slurs,Anti-black,sorte lort,sorte lort,Anti-black
Slurs,Anti-black,sorte slange,sorte slange,Anti-black
Slurs,Anti-black,sorte bølle,sorte bølle,Anti-black
Slurs,Anti-black,blackie,blackie,Anti-black
Slurs,Anti-black,farvede,farvede,Anti-black
Slurs,Anti-black,farvede,farvede,Anti-black
Slurs,Anti-black,neger,neger,Anti-black
Slurs,Anti-black,neger,neger,Anti-black
Slurs,Anti-black,nigger,nigger,Anti-black
Slurs,Anti-black,neger,neger,Anti-black
Slurs,Anti-black,nxgger,nxgger,Anti-black
Special terms,Football-specific,yiddy,yid (slurs against Tottenham supporters),Football-specific
Special terms,Football-specific,lejedrenge,rent boys (slur against Chelsea fans),Football-specific
Violence,Violent threats,brænd,burn,Violent threats
Violence,Violent threats,brændt,burned,Violent threats
Violence,Violent threats,dolke,stab,Violent threats
Violence,Violent threats,skyde,shoot,Violent threats
Violence,Violent threats,skudt,shot,Violent threats
