Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,Efterbliven,retard,Learning disability
Ableist,Learning disability,Retarderad,tard,Learning disability
Dogwhistle,Immigration,Asyl,asylum,Immigration
Dogwhistle,Immigration,Invandrare,immigrant,Immigration
Dogwhistle,Immigration,Invandring,immigration,Immigration
Dogwhistle,Immigration,Sharia,sharia,Immigration
Dogwhistle,Immigration,ras-kriminalitet,race-crime,Immigration
Family,Geneology,Mamma/Pappa,mum / dad,Geneology
Family,Geneology,Bror/Syster,brother / sister,Geneology
Family,Geneology,Gener,genes,Geneology
Family,Geneology,Inavlad,inbred,Geneology
General abuse,General swearing,Bastard,bastard,General swearing
General abuse,General swearing,Tjockskalle,bell end,General swearing
General abuse,General swearing,Fitta,cunt,General swearing
General abuse,General swearing,Fittig,cuntie,General swearing
General abuse,General swearing,Fan,fuck,General swearing
General abuse,General swearing,Kuk,knob,General swearing
General abuse,General swearing,Kukhuvud,knobhead,General swearing
General abuse,General swearing,Kukhuvud,knobend,General swearing
General abuse,General swearing,Skit,shit,General swearing
General abuse,General swearing,Skitig,shitty,General swearing
General abuse,General swearing,Dunderfitta,thundercunt,General swearing
General abuse,General swearing,Idiot,tosser,General swearing
General abuse,General swearing,Pucko,wanker,General swearing
Go back,Go back home,Stick hem till Afrika,go back to Africa,Go back home
Go back,Go back home,Dra åt helvete tillbaka,fuck off back,Go back home
Go back,Go back home,Åk hem,go back home,Go back home
Go back,Go back home,Åk hem till,go back to,Go back home
Homophobia,Anti-gay,Bög,fag,Anti-gay
Homophobia,Anti-gay,Gay,gay,Anti-gay
Homophobia,Anti-gay,Gayyyyyy,gayyyyyy,Anti-gay
Homophobia,Anti-gay,Homo,homo,Anti-gay
Homophobia,Anti-gay,Fikus,poof,Anti-gay
Homophobia,Anti-gay,Fjolla,poofter,Anti-gay
Homophobia,Anti-gay,Bög,puff,Anti-gay
Homophobia,Anti-gay,Bögig,puffter,Anti-gay
Homophobia,Anti-gay,Queer,queer,Anti-gay
Intracommunity slurs,Racially-motivated,Bounty,bounty,Racially-motivated
Intracommunity slurs,Racially-motivated,Choc ice,choc ice,Racially-motivated
Intracommunity slurs,Racially-motivated,Kokosnöt,coconut,Racially-motivated
Intracommunity slurs,Racially-motivated,Neger,coon,Racially-motivated
Possible slurs,Racial,Apa,ape,Racial
Possible slurs,Racial,Djungel,jungle,Racial
Possible slurs,Racial,Schimpans,chimp,Racial
Possible slurs,Racial,Schimpans,chimpanzee,Racial
Possible slurs,Racial,Apa,monkey,Racial
Possible slurs,Racial,Nigger,nigga,Racial
Possible slurs,Racial,Orangutang,orangutans,Racial
Possible slurs,Racial,Rasta,rasta,Racial
Possible slurs,Racial,Snigger,snigger,Racial
Possible slurs,Racial,Vattenmelon,watermelon,Racial
Racial terms,Anti-aboriginal,Aboriginer,aboriginal,Anti-aboriginal
Racial terms,Anti-aboriginal,Abo,abo,Anti-aboriginal
Racial terms,Anti-aboriginal,Abbo,abbo,Anti-aboriginal
Racial terms,Anti-aboriginal,Boong,boong,Anti-aboriginal
Racist narrative,Anti-black,Svart pojke,black boy,Anti-black
Racist narrative,Anti-black,Svart inbrott,black burglary,Anti-black
Racist narrative,Anti-black,Svart brott,black crime,Anti-black
Racist narrative,Anti-black,Svart brottsling,black criminal,Anti-black
Racist narrative,Anti-black,Svart gäng,black gang,Anti-black
Racist narrative,Anti-black,Svarta mord,black killings,Anti-black
Racist narrative,Anti-black,Svart kniv,black knife,Anti-black
Racist narrative,Anti-black,Svart grabb,black lad,Anti-black
Sectarianism,Protestant-Catholic(particularly Ireland),Fenian,Fenian,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),IRA,IRA,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),Papist,Papist,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),Prod,Prod,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),RUC,RUC,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),Taig,Taig,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),Taigs,Taigs,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),Teague,Teague,Protestant-Catholic(particularly Ireland)
Sectarianism,Protestant-Catholic(particularly Ireland),UVF,UVF,Protestant-Catholic(particularly Ireland)
Sexist,Anti-woman,Bitch,bitch,Anti-woman
Sexist,Anti-woman,Sensitivebitch,sensitivebitch,Anti-woman
Sexist,Anti-woman,Slampa,slag,Anti-woman
Sexist,Anti-woman,Slyna,slapper,Anti-woman
Sexist,Anti-woman,Slampa,slut,Anti-woman
Sexist,Anti-woman,Slinka,wench,Anti-woman
Sexist,Anti-woman,Hora,whore,Anti-woman
Sexual,Female anatomy,Röv,ass,Female anatomy
Sexual,Female anatomy,Bak,booty,Female anatomy
Sexual,Female anatomy,Bröst,breasts,Female anatomy
Sexual,Female anatomy,Klitoris,clit,Female anatomy
Sexual,Female anatomy,Fitta,pussy,Female anatomy
Sexual,Female anatomy,Tuttar,tits,Female anatomy
Slurs,Anti-black,Svart jävel,black bastard,Anti-black
Slurs,Anti-black,Svart ibtch,black bitch,Anti-black
Slurs,Anti-black,Svart fitta,black cunt,Anti-black
Slurs,Anti-black,Svart avskum,black scum,Anti-black
Slurs,Anti-black,Svart skit,black shit,Anti-black
Slurs,Anti-black,Svart skit,black shite,Anti-black
Slurs,Anti-black,Svart orm,black snake,Anti-black
Slurs,Anti-black,Svart gangster,black thug,Anti-black
Slurs,Anti-black,Svarting,blackie,Anti-black
Slurs,Anti-black,Färgad,coloured,Anti-black
Slurs,Anti-black,Färgad,colored,Anti-black
Slurs,Anti-black,Neger,negro,Anti-black
Slurs,Anti-black,Nig,nig,Anti-black
Slurs,Anti-black,Nigger,nigger,Anti-black
Slurs,Anti-black,Niggie,niggie,Anti-black
Slurs,Anti-black,Nxgger,nxgger,Anti-black
Special terms,Football-specific,Yid,Yid,Football-specific
Special terms,Football-specific,Rent boys,Rent boys,Football-specific
Violence,Violent threats,Bränna,burn,Violent threats
Violence,Violent threats,Bränd ,burned,Violent threats
Violence,Violent threats,Knivhugga,stab,Violent threats
Violence,Violent threats,Skjuta,shoot,Violent threats
Violence,Violent threats,Skott,shot,Violent threats
