Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,geri zekal?,retard,Ableism
Ableist,Learning disability,mankafal?,purblind,Ableism
Ableist,Learning disability,salak,idiot,Ableism
Ableist,Learning disability,aptal,stupid,Ableism
Ableist,Learning disability,mankafa,purblind,Ableism
Ableist,Learning disability,andaval,numskull,Ableism
Ableist,Genetic disability,spastik,spastic,Ableism
Ableist,Genetic disability,özürlü,lamer,Ableism
Ableist,Genetic disability,özür,defect,Ableism
Ableist,Genetic disability,engelli,disabled,Ableism
Ableist,Genetic disability,kolsuz,limbless,Ableism
Ableist,Genetic disability,bacaks?z,legless,Ableism
Ableist,Genetic disability,ahmak,idiot,Ableism
Ableist,Genetic disability,enayi,sucker,Ableism
Ableist,Genetic disability,ibi?,idiot,Ableism
Dogwhistle,Immigration,göçmen,immigrant,Dogwhistle
Dogwhistle,Immigration,macur,immigrant,Dogwhistle
Dogwhistle,Immigration,muhacir,immigrant,Dogwhistle
Dogwhistle,Terrorism,terörist,terrorist,Dogwhistle
Dogwhistle,Terrorism,terör,terror,Dogwhistle
Dogwhistle,Terrorism,fetö,fethullah terrorist organization,Dogwhistle
Dogwhistle,Terrorism,fetöcü,fetö member,Dogwhistle
Dogwhistle,Terrorism,pkk,pkk,Dogwhistle
Dogwhistle,Terrorism,pkkl?,pkk member,Dogwhistle
Dogwhistle,Terrorism,??id,isis,Dogwhistle
Dogwhistle,Terrorism,??idli,isis member,Dogwhistle
Dogwhistle,Terrorism,dhkp-c,dhkp-c,Dogwhistle
Dogwhistle,Terrorism,dea?,isis,Dogwhistle
Dogwhistle,Terrorism,bölücü,separationist,Dogwhistle
Dogwhistle,Terrorism,örgüt,organization,Dogwhistle
Dogwhistle,Terrorism,yap?lanma,structuring,Dogwhistle
Dogwhistle,Terrorism,terörizm,terrorism,Dogwhistle
Dogwhistle,Crime,suçlu,guilty,Dogwhistle
Dogwhistle,Crime,suç,crime,Dogwhistle
Dogwhistle,Crime,mafya,mafia,Dogwhistle
Dogwhistle,Crime,haydut,bandit,Dogwhistle
Dogwhistle,Crime,katil,killer,Dogwhistle
Dogwhistle,Crime,cani,villain,Dogwhistle
Dogwhistle,Crime,e?k?ya,bandit,Dogwhistle
Dogwhistle,Crime,haydutluk,banditry,Dogwhistle
Dogwhistle,Crime,e?kiyal?k,banditry,Dogwhistle
Dogwhistle,Crime,katillik,thuggery,Dogwhistle
Dogwhistle,Crime,sab?kal?,criminal,Dogwhistle
Dogwhistle,Crime,cezal?,criminal,Dogwhistle
Dogwhistle,Crime,cani,villain,Dogwhistle
Dogwhistle,Crime,canice,criminal-like,Dogwhistle
Dogwhistle,Crime,kriminal,criminal,Dogwhistle
Dogwhistle,Gangs,eleba??,ringleader,Dogwhistle
Dogwhistle,Gangs,çete,gang,Dogwhistle
Dogwhistle,Gangs,çete lideri,ringleader,Dogwhistle
Dogwhistle,Gangs,?ebeke,crime ring,Dogwhistle
Dogwhistle,Gangs,çete hayat?,gang life,Dogwhistle
Dogwhistle,Gangs,fuhu? çetesi,prostitution gang,Dogwhistle
Dogwhistle,Gangs,çete ba??,gang leader,Dogwhistle
Dogwhistle,Gangs,hapishane çetesi,prison gang,Dogwhistle
Dogwhistle,Gangs,çete kavgas?,gang fight,Dogwhistle
Dogwhistle,Gangs,çetele?mek,gang up,Dogwhistle
Dogwhistle,Gangs,grup,group,Dogwhistle
Dogwhistle,Gangs,grupla?mak,group up,Dogwhistle
Dogwhistle,Gangs,örgüt,organization,Dogwhistle
Dogwhistle,Gangs,örgütlenmek,organize,Dogwhistle
Dogwhistle,Gangs,örgütlü,organized,Dogwhistle
Dogwhistle,Gangs,silahl? çete,armed gang,Dogwhistle
Dogwhistle,Gangs,silahl? örgüt,armed gang,Dogwhistle
Dogwhistle,Gangs,suç çetesi,criminal gang,Dogwhistle
Dogwhistle,Gangs,üye,member,Dogwhistle
Dogwhistle,Gangs,çete üyesi,gansta,Dogwhistle
Dogwhistle,Gangs,suç ?ebekesi,crime ring,Dogwhistle
Family,Geneology,ana,mother,Family
Family,Geneology,anan?,your mother,Family
Family,Geneology,anne,mom,Family
Family,Geneology,anneni,your mom,Family
Family,Geneology,baba,father,Family
Family,Geneology,baban?,your father,Family
Family,Geneology,baban?n,your father's,Family
Family,Geneology,annenin,your mother's,Family
Family,Geneology,karde?,brother,Family
Family,Geneology,karde?ini,your brother,Family
Family,Geneology,karde?inin,your brother's,Family
Family,Geneology,k?z karde?,sister,Family
Family,Geneology,k?z karde?ini,your sister,Family
Family,Geneology,k?z karde?inin,your sister's,Family
Family,Geneology,erkek karde?,brother   ,Family
Family,Geneology,erkek karde?ini,your brother,Family
Family,Geneology,erkek karde?inin,your brother's,Family
Family,Geneology,ebe,midwife,Family
Family,Geneology,ebeni,your midwife,Family
Family,Geneology,ebenin,your midwife's,Family
Family,Geneology,akraba evlili?i,inbred,Family
Family,Geneology,soysuz,degenerated,Family
Family,Relationships,k?z arkada?,girlfriend,Family
Family,Relationships,k?z arkada??n?,your girlfriend,Family
Family,Relationships,k?z arkada??n?n,your girlfriend's,Family
Family,Relationships,erkek arkada?,boyfriend,Family
Family,Relationships,erkek arkada??n?,your boyfriend,Family
Family,Relationships,erkek arkada??n?n,your boyfriend's,Family
Family,Relationships,sevgili,lover,Family
Family,Relationships,sevgilini,your lover,Family
Family,Relationships,sevgilinin,your lover's,Family
Family,Marriage,kar?,wife,Family
Family,Marriage,kar?n?,your wife,Family
Family,Marriage,kar?n?n,your wife's,Family
Family,Marriage,koca,husband,Family
Family,Marriage,kocan?,your husband,Family
Family,Marriage,kocan?n,your husband's,Family
Family,Marriage,e?,spouse,Family
Family,Marriage,e?ini,your spouse,Family
Family,Marriage,e?inin,your spouse's,Family
General abuse,General swearing,piç,bastar,General abuse
General abuse,General swearing,göt,asshole,General abuse
General abuse,General swearing,bok,shit,General abuse
General abuse,General swearing,orospu,bitch,General abuse
General abuse,General swearing,orospu çocu?u,son of a bitch,General abuse
General abuse,General swearing,budala,fool,General abuse
General abuse,General swearing,kazma,pickaxe (fool),General abuse
General abuse,General swearing,dangalak,crass,General abuse
General abuse,General swearing,göt lalesi,ass tulip (ass hole),General abuse
General abuse,General swearing,kal?n kafal?,dumb,General abuse
General abuse,General swearing,denyo,dumb,General abuse
General abuse,General swearing,odun kafal?,wooden-headed,General abuse
General abuse,Paedophilia,pedofili,pedophilia,General abuse
General abuse,Paedophilia,pedo,pedo,General abuse
General abuse,Paedophilia,sübyan,pedophile,General abuse
General abuse,Paedophilia,sübyanc?,pedophile,General abuse
General abuse,Paedophilia,?erefsiz,dishonourable,General abuse
General abuse,Paedophilia,alçak,mean,General abuse
General abuse,Paedophilia,a?a??l?k,despicable,General abuse
General abuse,Paedophilia,a?a??l?k herif,wicked man,General abuse
General abuse,Paedophilia,sap?k,pervert,General abuse
General abuse,Paedophilia,adi,vile,General abuse
General abuse,Dishonesty,kurnaz,sly,General abuse
General abuse,Dishonesty,tilki,fox,General abuse
General abuse,Dishonesty,s?çan,rat,General abuse
General abuse,Dishonesty,y?lan,snake,General abuse
General abuse,Dishonesty,ispiyon,squeal,General abuse
General abuse,Dishonesty,ispiyoncu,rat,General abuse
General abuse,Dishonesty,ispiyonlamak,tell on,General abuse
General abuse,Dishonesty,hain,traitor,General abuse
General abuse,Dishonesty,dönek,renegade,General abuse
General abuse,Dishonesty,alçak,mean,General abuse
Go back,Go back home,evine dön,go home,Xenophobia
Go back,Go back home,çölüne dön,return to your desert (anti-arabian),Xenophobia
Go back,Go back home,yallah,go for it! (anti-arabian),Xenophobia
Go back,Go back home,siktir,screw you,General abuse
Go back,Go back home,siktir git,fuck off,General abuse
Go back,Go back home,cehenneme git,go to hell,General abuse
Go back,Go back home,cehenneme kadar yolun var,go to hell,General abuse
Go back,Go back home,defol,get out,General abuse
Go back,Go back home,defol git,go away,General abuse
Go back,Go back home,bak ?uradan siktir git,get the fuck out of here,Xenophobia
Go back,Go back home,yallah arabistana,Go to Arabia! (anti-arabian),Xenophobia
Go back,Go back home,arabistana git,go to Arabia,Xenophobia
Go back,Go back home,arabistana dön,return to Arabia,Xenophobia
Homophobia,Anti-gay,gay,gay,Homophobia
