Category,Subcategory,Local term,English translation,Simple category
Ableist,Learning disability,痴呆,dementia,Learning disability
Ableist,Learning disability,傻,stupid,Learning disability
Ableist,Learning disability,彪,foolish,Learning disability
Ableist,Learning disability,弱智,mentally retarded,Learning disability
Dogwhistle,Immigration,难民,refugee,Immigration
Dogwhistle,Immigration,黑民,no identity （foreigners）,Immigration
Dogwhistle,Immigration,黑户,no identity （Chinese）,Immigration
Family,Geneology,私生子,illegitimate child,Geneology
General abuse,General swearing,私生子,bastard,General swearing
General abuse,General swearing,婊子,bitch,General swearing
General abuse,General swearing,操你妈,fuck,General swearing
General abuse,General swearing,王八蛋,wanker,General swearing
General abuse,General swearing,流氓,tramp,General swearing
General abuse,General swearing,鸡,prostitute/slut,General swearing
General abuse,General swearing,浪荡,loiter,General swearing
General abuse,General swearing,神经病,crazy,General swearing
Go back,Go back home,滚犊子,piss off,Go back home
Go back,Go back home,滚,fuck off,Go back home
Homophobia,Anti-gay,丁字裤,gay,Anti-gay
Homophobia,Anti-gay,变态,metamorphosis,Anti-gay
Homophobia,Anti-gay,二夷子,queer,Anti-gay
Homophobia,Anti-gay,同志,gay,Anti-gay
Homophobia,Anti-gay,基友,gay,Anti-gay
Homophobia,Anti-gay,基佬,gay,Anti-gay
Homophobia,Anti-gay,搞基,gay,Anti-gay
Homophobia,Anti-gay,玻璃,gay,Anti-gay
Intracommunity slurs,Racially-motivated,香蕉,Chinese on the outside (yellow skin), foreigner on the inside (white skin),Racially-motivated
Possible slurs,Racial,阿三,Indian,Racial
Possible slurs,Racial,叉叉,Indian,Racial
Possible slurs,Racial,黑鬼,nigga,Racial
Possible slurs,Racial,菲佣,filipino maid,Racial
Racist narrative,Anti-black,黑鬼,people with black skin,Anti-black
Sexist,Anti-woman,婊子,bitch,Anti-woman
Sexist,Anti-woman,臭婆娘,bitch,Anti-woman
Sexist,Anti-woman,破鞋,slut,Anti-woman
Sexist,Anti-woman,妓女,prostitute,Anti-woman
Sexist,Anti-woman,鸡,slut/prostitute,Anti-woman
Sexist,Anti-woman,不要脸,shameless,Anti-woman
Sexist,Anti-woman,绿茶,whore,Anti-woman
Sexual,Female anatomy,腚,ass,Female anatomy
Sexual,Female anatomy,胸,booty,Female anatomy
Sexual,Female anatomy,逼,pussy,Female anatomy
Sexual,Female anatomy,奶头,tits,Female anatomy
Special terms,Football-specific,臭脚,Stinky feet,Football-specific
Violence,Violent threats,烧你全家,burn your whole family,Violent threats
Violence,Violent threats,强奸,rape (mother, sister/sister),Violent threats
Violence,Violent threats,捅,stab,Violent threats
