Category,Subcategory,Local term,English translation,
Ableist,Learning disability,?????,moron,Ableism
Ableist,Learning disability,?????,moron,Ableism
Ableist,Learning disability,????????,dumbest,Ableism
Ableist,Learning disability,????,donkey,Ableism
Ableist,Learning disability,?????,ram,Ableism
Ableist,Learning disability,???? ?????????pedal horse,pedal horse,Ableism
Ableist,Learning disability,??????,dunce,Ableism
Ableist,Learning disability,??????,brake,Ableism
Ableist,Learning disability,??????,cudgel,Ableism
Ableist,Learning disability,?????????,boobie,Ableism
Ableist,Learning disability,????? ?????????,deer,Ableism
Ableist,Learning disability,??????????,stupid,Ableism
Ableist,Learning disability,??????,dunduk,Ableism
Ableist,Learning disability,?????,woodpecker,Ableism
Ableist,Learning disability,??????,eldyga,Ableism
Ableist,Learning disability,???????,blockhead,Ableism
Ableist,Learning disability,????????,roundtrip,Ableism
Ableist,Learning disability,?????????,stupid,Ableism
Ableist,Learning disability,??????????,brainless,Ableism
Ableist,Learning disability,??????????,dolly lizard,Ableism
Ableist,Genetic disability,??????,nerd,Ableism
Ableist,Genetic disability,???????,ushlepok,Ableism
Ableist,Genetic disability,????????????,unfinished,Ableism
Ableist,Genetic disability,?????,asian,Ableism
Ableist,Genetic disability,????,down,Ableism
Ableist,Genetic disability,???????,daunito,Ableism
Ableist,Genetic disability,????,fuck,Ableism
Ableist,Genetic disability,?????????,blunt-nosed,Ableism
Ableist,Genetic disability,???????,motherfucker,Ableism
Ableist,Genetic disability,???????,fucking,Ableism
Ableist,Genetic disability,????????,lip smack,Ableism
Ableist,Genetic disability,?????,turkey,Ableism
Ableist,Genetic disability,?????,boar,Ableism
Ableist,Genetic disability,????,herod,Ableism
Ableist,Genetic disability,????,ass,Ableism
Ableist,Genetic disability,?????,broody,Ableism
Ableist,Genetic disability,???????,sorcerer,Ableism
Dogwhistle,Immigration,???????,asylum,Dogwhistle
Dogwhistle,Immigration,?????????,immigrant,Dogwhistle
Dogwhistle,Immigration,??????????,immigration,Dogwhistle
Dogwhistle,Immigration,??????,sharia,Dogwhistle
Dogwhistle,Immigration,???????????? ?? ??????? ?????,race-crime,Dogwhistle
Dogwhistle,Terrorism,??????,terror,Dogwhistle
Dogwhistle,Terrorism,?????????,terrorist,Dogwhistle
Dogwhistle,Terrorism,???????????????? ?????,terrorised,Dogwhistle
Dogwhistle,Terrorism,?????????????,terrorising,Dogwhistle
Dogwhistle,Crime,?????????,thug,Dogwhistle
Dogwhistle,Crime,?????????,thuggery,Dogwhistle
Dogwhistle,Crime,????????,thugly,Dogwhistle
Dogwhistle,Crime,????????,criminal,Dogwhistle
Dogwhistle,Crime,????????????,criminality,Dogwhistle
Dogwhistle,Crime,??????,killer,Dogwhistle
Dogwhistle,Crime,??????,bandos,Dogwhistle
Dogwhistle,Crime,?????,trash,Dogwhistle
Dogwhistle,Crime,??????,snitch,Dogwhistle
Dogwhistle,Crime,????,cop,Dogwhistle
Dogwhistle,Crime,????????,whore-carrier,Dogwhistle
Dogwhistle,Crime,?????,muzzle,Dogwhistle
Dogwhistle,Gangs,?????,gang,Dogwhistle
Dogwhistle,Gangs,????????,gangster,Dogwhistle
Dogwhistle,Gangs,???? ?????,gangsta,Dogwhistle
Dogwhistle,Gangs,???????????????,organised crime,Dogwhistle
Dogwhistle,Gangs,???????????,criminals,Dogwhistle
Dogwhistle,Gangs,??????,the killers,Dogwhistle
Dogwhistle,Gangs,?????,fraer,Dogwhistle
Dogwhistle,Gangs,????,urca,Dogwhistle
Dogwhistle,Gangs,??????,thief,Dogwhistle
Dogwhistle,Gangs,??????,huckster,Dogwhistle
Dogwhistle,Gangs,???????,hijacker,Dogwhistle
Dogwhistle,Gangs,?????????,thug,Dogwhistle
Dogwhistle,Gangs,?????,rogue,Dogwhistle
Dogwhistle,Gangs,?????????,scumbag,Dogwhistle
Dogwhistle,Gangs,???????,ohlamon,Dogwhistle
Dogwhistle,Gangs,??????,riffraff,Dogwhistle
Dogwhistle,Gangs,?????,punks,Dogwhistle
Dogwhistle,Gangs,??????,snitch,Dogwhistle
Dogwhistle,Gangs,???????,zapadlo,Dogwhistle
